Rank,Last Name and First Name,Points,Debut
1,OPAAS Vegard,218.0,no
2,VETTORI Ernst,192.0,no
3,FELDER Andreas,177.0,no
4,TEPES Miran,166.0,no
5,STJERNEN Hroar,159.0,no
6,NYKAENEN Matti,133.0,no
7,ULAGA Primoz,132.0,no
8,FIDJESTOEL Ole Gunnar,131.0,no
9,PARMA Jiri,129.0,no
10,NIKKOLA Ari-Pekka,124.0,no
11,WEISSFLOG Jens,103.0,no
12,FINDEISEN Ulf,95.0,no
13,KLAUSER Thomas,86.0,no
14,BAUER Andreas,81.0,no
15,YLIPULLI Tuomo,74.0,no
16,KALSO Jukka,62.0,no
17,SUORSA Pekka,49.0,no
18,LAAKONEN Risto,38.0,no
19,YLIPULLI Heikki,36.0,no
20,DEBELAK Matjaz,33.0,no
21,BRAATEN Steinar,32.0,no
21,STROHMAIER Oliver,32.0,yes
23,PODZIMEK Vladimir,31.0,no
23,ZUPAN Matjaz,31.0,yes
25,SATO Akira,29.0,yes
26,TANAKA Shinichi,28.0,no
27,BALANCHE Gérard,27.0,no
27,VACEK Bohumil,27.0,no
29,SHIMA Hiro,25.0,no
29,SVAGERKO Martin,25.0,no
31,FIJAS Pjotr,24.0,no
32,HANSSON Olav,22.0,no
32,HAUSWIRTH Christian,22.0,no
34,HOLLAND Mike,21.0,no
34,PIAZZINI Fabrice,21.0,no
36,STRANNER Günther,19.0,no
37,FJORDEN Stale,17.0,yes
37,NAGAOKA Masaru,17.0,yes
39,MOLLARD Didier,15.0,no
39,PEDERSEN Trond J.,15.0,no
39,PLOC Pavel,15.0,no
39,REYMOND Pascal,15.0,no
43,BERGER Frédéric,14.0,no
44,SASAKI Takayuki,13.0,yes
45,BOKLOEV Jan,12.0,yes
46,WIEGELE Franz,11.0,no
47,BULAU Horst,10.0,no
47,DLUHOS Ladislav,10.0,no
49,DEBELAK Janez,9.0,yes
49,NISHIKATA Chiharu,9.0,no
49,NOKELAINEN Kai,9.0,yes
49,PUIKKONEN Jari,9.0,no
49,ROHWEIN Peter,9.0,no
54,LACEDELLI Antonio,8.0,no
54,LEDERER Remo,8.0,yes
54,NEULAENDTNER Franz,8.0,no
57,KJOERUM Jon-Inge,7.0,no
57,RODLAUER Harald,7.0,yes
57,SAMBUGARO Sandro,7.0,no
60,ITO Naoto,6.0,yes
60,LITSCHKO Raimund,6.0,yes
60,TAELLBERG Per-Inge,6.0,no
63,BRAATEN Clas Brede,5.0,yes
63,EIDHAMMER Ole-Christian,5.0,no
63,HEUMANN Josef,5.0,yes
63,KOJONKOSKI Mika,5.0,no
63,NISHIKATA Jinya,5.0,yes
63,STEIERT Wolfgang,5.0,no
63,STIRN Janez,5.0,yes
70,JESSIN Mikhail,4.0,yes
70,KINDLIMANN Thomas,4.0,yes
70,LESSER Ingo,4.0,no
70,MUELLER Christoph,4.0,yes
70,RESCH Raimund,4.0,no
70,SCHALLERT Richard,4.0,no
76,VERVEIKIN Andzey,3.0,no
76,WEGSCHEIDER Lorenz,3.0,no
78,JOHANSEN Jouni,2.0,yes
78,KARETNIKOV Valerji,2.0,no
78,KOWAL Jan,2.0,no
78,LOTRIC Rajko,2.0,no
78,PALMER Zane,2.0,no
78,SCHILLI Rolf,2.0,yes
78,SOLA Bernat,2.0,yes
85,HARADA Masahiko,1.0,yes
85,HASJIMOTO Terumi,1.0,yes
85,JOHNSEN Erik,1.0,yes
85,LUNARDI Virginio,1.0,yes
85,TARANOV Aleksandr,1.0,yes
