Rank,Last Name and First Name,Points,Debut
1,AHONEN Janne,1316.0,no
2,LJOEKELSOEY Roar,1306.0,no
3,ROMOEREN Bjoern-Einar,825.0,no
4,PETTERSEN Sigurd,787.0,no
5,HOELLWARTH Martin,731.0,no
6,MORGENSTERN Thomas,696.0,no
7,HAUTAMAEKI Matti,673.0,no
8,KASAI Noriaki,631.0,no
9,SPAETH Georg,557.0,no
10,ZONTA Peter,545.0,no
11,INGEBRIGTSEN Tommy,526.0,no
12,MALYSZ Adam,525.0,no
13,AMMANN Simon,511.0,no
14,UHRMANN Michael,501.0,no
15,LINDSTROEM Veli-Matti,476.0,no
16,KIURU Tami,411.0,no
17,BENKOVIC Rok,343.0,no
18,GOLDBERGER Andreas,299.0,no
19,KOKKONEN Akseli,280.0,no
20,SCHMITT Martin,276.0,no
21,BYSTOEL Lars,263.0,no
21,KOFLER Andreas,263.0,no
23,KUETTEL Andreas,258.0,no
24,HANNAWALD Sven,253.0,no
25,HIGASHI Akira,250.0,no
26,HERR Alexander,241.0,no
27,MECHLER Maximilian,209.0,no
28,LOITZL Wolfgang,206.0,no
29,WIDHOELZL Andreas,192.0,no
30,SOLEM Morten,172.0,no
31,MIYAHIRA Hideharu,167.0,no
32,BARDAL Anders,162.0,no
33,STENSRUD Henning,161.0,no
34,HOCKE Stephan,115.0,no
35,CHEDAL Emmanuel,100.0,no
36,SCHWARZENBERGER Reinhard,93.0,no
37,ITO Daiki,91.0,yes
38,ERIKSSON Johan,86.0,yes
39,JANDA Jakub,78.0,no
40,FUNAKI Kazuyoshi,71.0,no
40,HAUTAMAEKI Jussi,71.0,no
40,LIEGL Florian,71.0,no
43,YAMADA Hiroki,68.0,no
44,RUUSKANEN Juha-Matti,65.0,yes
45,PETERKA Primoz,64.0,no
46,KRANJEC Robert,58.0,no
47,RITZERFELD Joerg,53.0,no
48,DESSUM Nicolas,49.0,no
49,NAGILLER Christian,44.0,no
50,HAPPONEN Janne,39.0,no
51,MATURA Jan,32.0,no
52,BACHLEDA Marcin,27.0,no
53,JONES Clint,25.0,no
54,SKUPIEN Wojciech,24.0,no
55,DAMJAN Jernej,22.0,yes
55,SILAEV Alexey,22.0,yes
57,SCHNEIDER Balthasar,20.0,no
58,RUTKOWSKI Mateusz,17.0,yes
59,THURNBICHLER Stefan,16.0,no
59,VASSILIEV Dimitri,16.0,no
61,IPATOV Dimitri,14.0,yes
61,TAKANO Teppei,14.0,no
63,KORNILOV Denis,13.0,yes
63,PIEPER Stefan,13.0,no
65,FRAS Damjan,11.0,no
66,SALUMAE Jens,10.0,no
67,BADER Ferdinand,9.0,yes
67,MESIK Martin,9.0,no
67,TAJNER Wojciech,9.0,yes
70,OLLI Harri,6.0,yes
70,TAHTAHUNOV Asan,6.0,yes
72,DOENNEM Olav Magne,5.0,no
72,SALMINEN Pekka,5.0,no
74,ANISIMOV Maksim,3.0,yes
74,MAZOCH Jan,3.0,no
74,ZHAPAROV Radik,3.0,yes
77,KANG Chil Gu,2.0,yes
77,MUELLER Roland,2.0,yes
