Rank,Last Name and First Name,Points,Debut
1,NEUPER Hubert,238.0,yes
2,KOGLER Armin,220.0,yes
3,BOBAK Stanislaw,130.0,yes
4,YAGI Hirokazu,116.0,yes
5,AKIMOTO Masahiro,109.0,yes
6,MILLONIG Hans,108.0,yes
6,SAETRE Johan,108.0,yes
8,SUMI Hansjörg,102.0,yes
9,INNAUER Toni,95.0,yes
10,PUIKKONEN Jari,87.0,yes
10,WALLNER Hans,87.0,yes
12,COLLINS Steve,83.0,yes
12,LEVORSTAD Tom,83.0,yes
14,RUUD Roger,82.0,yes
15,GROYER Alfred,81.0,yes
16,FIJAS Pjotr,73.0,yes
17,BERGERUD Per,70.0,yes
17,LIPBURGER Alois,70.0,yes
19,TOERMAENEN Jouko,65.0,yes
20,NORCIC Bogdan,61.0,yes
21,GLASS Henry,56.0,yes
21,OSTWALD Klaus,56.0,yes
23,TUCHSCHERER Klaus,49.0,yes
24,LEITNER Peter,46.0,yes
25,MOULLIER Bernard,42.0,yes
26,WEBER Martin,41.0,yes
27,CHRISTIANSEN Tom,40.0,yes
28,MOESCHING Robert,37.0,yes
29,KAWABATA Takafumi,35.0,yes
29,MOBEKK Ivar,35.0,yes
29,PUERSTL Willi,35.0,yes
32,ULAGA Primoz,31.0,yes
33,DANNEBERG Jochen,27.0,yes
35,KLAUSER Thomas,26.0,yes
36,VLASOV Vladimir,24.0,yes
36,ZUEHLKE Reed,24.0,yes
38,BULAU Horst,23.0,yes
38,DUSCHEK H.,23.0,yes
38,MEISINGER Thomas,23.0,yes
38,SCHWARZ Hubert,23.0,yes
38,TEPES Miran,23.0,yes
43,ABERER Gebhard,22.0,yes
43,PAWLUSIAK Stanislaw,22.0,yes
43,TSURUGA Sajae,22.0,yes
46,DECKERT Manfred,20.0,yes
46,TANCZOS Jan,20.0,yes
46,WEISSPFLOG Falko,20.0,yes
49,SKODA Leos,19.0,yes
49,TOMASI Lido,19.0,yes
51,MIKKONEN Tapio,18.0,yes
51,SAITSCHIK Sergej,18.0,yes
53,JOERGENSEN Ulf,17.0,yes
53,TOIVONEN Seppo,17.0,yes
55,KAEYHKO Tauno,16.0,yes
55,KOKKONEN Pentti,16.0,yes
57,BALKAASEN Per,15.0,yes
57,KORHONEN Keijo,15.0,yes
59,FELIX Ivo,14.0,yes
60,ASPHOL Halvor,13.0,yes
60,SUNIN Pjotr,13.0,yes
62,KOCH Fritz,12.0,yes
62,NORDLIEN Per Steinar,12.0,yes
62,RAULAND Tom,12.0,yes
65,BAJC Vasja,11.0,yes
65,DAVIS Jeffrey,11.0,yes
65,HOLMEN JENSEN Dag,11.0,yes
65,MALMQUIST Walter,11.0,yes
65,RONKAINEN,11.0,yes
70,KARLSSON Christer,10.0,yes
70,NOVAK Bretislav,10.0,yes
70,STROEMBERG Jan Erik,10.0,yes
73,AALTO Asko,9.0,yes
73,COLIN Gerard,9.0,yes
73,HYSEK Josef,9.0,yes
76,BOROVITIN A.,8.0,yes
76,JOERNKROK Thomas,8.0,yes
76,KAMAROV,8.0,yes
76,TVEITEN Sten Eric,8.0,yes
80,EGLOFF Paul,7.0,yes
80,HANADA Toshihiro,7.0,yes
80,HOLMLUND Jan,7.0,yes
80,ITUO Takao,7.0,yes
80,TANAKA Shinichi,7.0,yes
85,ZUPAN Ivo,6.0,yes
86,HEINONEN Kari,5.0,yes
86,SAMEK J.,5.0,yes
88,AIZAWA Hiroyasu,4.0,yes
88,BABIS Babis,4.0,yes
88,KOWALSKI Andrzej,4.0,yes
88,LARINTO Jari,4.0,yes
92,GREINER Andreas,3.0,yes
92,KAWAMURA Yuji,3.0,yes
92,RAUTIONAHO Esko,3.0,yes
92,WURSTHORN Albert,3.0,yes
97,NOVOTNY Frantisek,2.0,yes
97,SASAKI Shinya,2.0,yes
99,GUERTLER Rupert,1.0,yes
99,IWASAKI Motoshi,1.0,yes
99,JELENSKI Jan,1.0,yes
99,KIRKELUND Sveinung,1.0,yes
99,KONNO Nirihiro,1.0,yes
99,PROSSER Thomas,1.0,yes
