Rank,Last Name and First Name,Points,Debut
1,SAGEN Anette,1400.0,no
2,IRASCHKO Daniela,928.0,no
3,SEIFRIEDSBERGER Jaqueline,801.0,no
4,VTIC Maja,607.0,no
5,MOHR Jenna,590.0,no
6,VAN Lindsey-M,523.0,no
7,DE LEEUW Nata,440.0,no
7,JEROME Jessica,440.0,no
9,WILLIS Katie,414.0,no
10,GRAESSLER Ulrike,400.0,no
11,DEMETZ Lisa,397.0,no
12,FUCHS Salome,334.0,no
13,TANAKA Atsuko,323.0,no
14,ARDOVINO Avery,319.0,no
15,HAEFELE Anna,310.0,no
16,SCHNURR Magdalena,306.0,no
17,YAMADA Izumi,301.0,no
18,VOGT Carina,237.0,no
19,SEYFARTH Juliane,231.0,yes
20,WINDMUELLER Bigna,213.0,no
21,ENGER Gyda,187.0,no
21,LOGAR Eva,187.0,no
23,RUNGGALDIER Elena,176.0,no
24,REXHAEUSER Lisa,153.0,no
25,JAHR Line,148.0,no
26,POZUN Katja,136.0,no
27,ELLIS Brenna,112.0,no
28,WATASE Ayumi,105.0,no
29,JOHNSON Alissa,104.0,no
30,PUSTKOVA Vladena,97.0,no
31,ITOH Yuuki,95.0,no
32,TEPES Anja,93.0,no
33,KASAI Yoshiko,77.0,no
34,LYNCH Zoya,63.0,no
35,VUIK Wendy,60.0,yes
36,FAISST Melanie,59.0,no
37,POGRAJC Manja,56.0,yes
38,DRAGE Tanja,54.0,no
38,SCHUEPBACH Malika,54.0,no
40,THOMAE Lara,53.0,yes
41,ESPIAU Caroline,46.0,yes
42,KYKKAENEN Julia,43.0,yes
43,HENDRICKSON Sarah,42.0,yes
44,WINDMUELLER Sabrina,38.0,no
45,SPRAKEHAUG Silje,37.0,no
45,STUFFER Barbara,37.0,no
47,KANAI Rieko,34.0,no
48,DOLEZELOVA Michaela,33.0,yes
49,FRIBERG Karin,30.0,no
50,INSAM Evelyn,26.0,no
51,ANDERSSON Elisabeth,25.0,no
52,KOASA Seiko,24.0,no
53,TAKEDA Ayuka,23.0,no
54,GERAGHTY-MOATS Tara,21.0,yes
54,WUERTH Svenja,21.0,yes
56,STRAUB Ramona,19.0,no
57,HIRAYAMA Yurika,18.0,no
57,POCK Verena,18.0,no
59,HUGHES Abby,17.0,no
60,SHIGENO Misaki,16.0,no
61,SAWAYA Natsuka,14.0,yes
62,D AGOSTINA Roberta,12.0,no
62,FUEKI Misa,12.0,no
64,KABE Erina,11.0,no
64,LUSSI Danielle,11.0,yes
66,YAMAGUCHI Mizuki,10.0,no
67,STRATFORD Faye,9.0,yes
68,ROGELJ Spela,7.0,yes
69,KITAMURA Saki,6.0,no
69,MATSUHASHI Aki,6.0,yes
71,KOBAYASHI Yuka,3.0,yes
71,SATO Sakura,3.0,no
73,KIENZER Anna,2.0,yes
