Rank,Last Name and First Name,Points,Debut
1,LUNDBY Maren,1909.0,no
2,ALTHAUS Katharina,1493.0,no
3,SEYFARTH Juliane,1451.0,no
4,TAKANASHI Sara,1190.0,no
5,KRIZNAR Nika,826.0,no
6,PINKELNIG Eva,825.0,no
7,STROEM Anna Odine,717.0,no
8,IRASCHKO-STOLZ Daniela,701.0,no
9,VOGT Carina,686.0,no
10,HOELZL Chiara,644.0,no
11,BOGATAJ Ursa,627.0,no
12,ITO Yuki,571.0,no
13,IAKOVLEVA Lidiia,509.0,yes
14,STRAUB Ramona,449.0,no
15,TIKHONOVA Sofia,399.0,no
16,OPSETH Silje,381.0,no
17,SEIFRIEDSBERGER Jacqueline,360.0,no
18,MALSINER Lara,359.0,no
19,KUSTOVA Alexandra,346.0,no
20,MARUYAMA Nozomi,283.0,yes
21,ROGELJ Spela,228.0,no
22,SETO Yuka,217.0,no
23,RUNGGALDIER Elena,215.0,no
24,KLINEC Ema,214.0,no
25,RUPPRECHT Anna,209.0,no
26,BRECL Jerneja,187.0,no
27,IWABUCHI Kaori,142.0,no
28,MORAT Lucile,105.0,no
29,KYKKAENEN Julia,104.0,no
30,PAGNIER Josephine,94.0,yes
31,LEMARE Lea,93.0,no
31,HARALAMBIE Daniela,93.0,no
33,SHPYNEVA Anna,88.0,yes
34,WUERTH Svenja,87.0,no
35,VTIC Maja,75.0,no
36,LI Xueyao,57.0,no
37,KOMAR Katra,44.0,no
38,BRAATEN Ingebjoerg Saglien,36.0,yes
38,HESSLER Pauline,36.0,no
40,ENGLUND Nita,31.0,no
41,KABLUKOVA Ksenia,30.0,no
42,AVVAKUMOVA Irina,29.0,no
43,AVOCAT GROS Oceane,22.0,no
44,EDER Lisa,12.0,no
45,CLAIR Julia,9.0,no
45,KARPIEL Kamila,9.0,yes
47,RAJDA Kinga,8.0,no
47,SHIGENO Misaki,8.0,no
49,INDRACKOVA Karolina,6.0,yes
49,PTACKOVA Stepanka,6.0,yes
49,REISCH Agnes,6.0,no
52,IWASA Haruka,5.0,no
53,EILERS Natalie,4.0,no
54,FREITAG Selina,3.0,yes
54,OI Shihori,3.0,yes
56,BARANTCEVA Aleksandra,2.0,no
56,LUSSI Nina,2.0,no
58,PESATOVA Zdenka,1.0,yes
