Rank,Last Name and First Name,Points,Debut
1,SCHMITT Martin,1753.0,no
2,AHONEN Janne,1695.0,no
3,KASAI Noriaki,1598.0,no
4,FUNAKI Kazuyoshi,1589.0,no
5,MIYAHIRA Hideharu,935.0,no
6,HANNAWALD Sven,896.0,no
7,WIDHOELZL Andreas,833.0,no
8,HORNGACHER Stefan,813.0,no
9,HARADA Masahiko,720.0,no
10,THOMA Dieter,555.0,no
11,INGEBRIGTSEN Tommy,512.0,no
12,LOITZL Wolfgang,505.0,no
13,YOSHIOKA Kazuya,497.0,no
14,DESSUM Nicolas,454.0,no
15,SCHWARZENBERGER Reinhard,444.0,no
16,AAGHEIM Morten,428.0,no
17,GOLDBERGER Andreas,400.0,no
18,HOELLWARTH Martin,385.0,no
18,SUCHACEK Jakub,385.0,no
20,OTTESEN Lasse,363.0,no
21,DUFFNER Christof,359.0,no
22,BRENDEN Kristian,344.0,no
23,SAITOH Hiroya,261.0,no
24,JAEKLE Hansjoerg,223.0,no
25,ZONTA Peter,212.0,no
26,HORNSCHUH Ronny,197.0,no
27,PETERKA Primoz,192.0,no
28,KANTEE Ville,183.0,no
29,LJOEKELSOEY Roar,173.0,no
30,CECON Roberto,169.0,no
31,MEYER Christian,168.0,no
32,DOENNEM Olav Magne,167.0,yes
33,LAITINEN Mika Antero,160.0,no
33,STENSRUD Henning,160.0,no
35,SOININEN Jani,151.0,no
36,REUTELER Bruno,144.0,no
37,HERR Alexander,141.0,no
38,OKABE Takanobu,102.0,no
39,MATEJA Robert,100.0,no
40,NAKAMURA Kazuhiro,96.0,no
41,SIEGMUND Gerd,89.0,no
42,FREIHOLZ Sylvain,78.0,no
43,JUSSILAINEN Risto,72.0,no
44,KOBELEV Valery,71.0,no
45,JAAFS Kristoffer,61.0,yes
46,MALYSZ Adam,58.0,no
47,JANDA Jakub,48.0,no
47,KIURU Tami,48.0,yes
49,DOLEZAL Michal,46.0,no
50,CHEVALIER-GIROD Lucas,45.0,no
51,AUDENRIETH Roland,43.0,no
51,CHIBA Katsutoshi,43.0,no
53,STEINAUER Marco,39.0,no
54,SALMINEN Pekka,37.0,yes
55,NOROTA Yoshikazu,36.0,no
56,FRAS Damjan,34.0,no
57,LUNARDI Ivan,30.0,no
58,FUKITA Yukitaka,29.0,no
58,JIROUTEK Jakub,29.0,no
60,EBERHARTER Wilfried,28.0,yes
61,SATO Masayuki,27.0,no
62,FRANC Urban,26.0,no
63,WATASE Yuta,25.0,yes
64,KHAMIDOULINE Artour,23.0,yes
64,SAGBAKKEN Kjell Erik,23.0,no
66,HEIMDAL Oddgeir,22.0,yes
66,RIHTAR Miha,22.0,no
68,ALBORN Alan Jacob,21.0,yes
69,KUETTEL Andreas,18.0,no
70,NISHISHITA Kazuki,15.0,no
71,PLNY Tomas,14.0,yes
71,SAKURAI Hitoshi,14.0,no
73,HLAVA Jakub,13.0,yes
74,PARPAN Rico,12.0,yes
75,FREY Leif,11.0,yes
75,SAKALA Jaroslav,11.0,no
75,SANDAKER Jon Petter,11.0,no
78,SKUPIEN Wojciech,10.0,no
78,VAEAETAEINEN Janne,10.0,no
80,HAERE Frode,9.0,no
80,HIGASHI Kazuhiro,9.0,no
80,URAM Matej,9.0,yes
80,VRHOVNIK Blaz,9.0,no
84,AARNES Tom Age,8.0,yes
84,GAIDUK Pavel,8.0,yes
84,URH-ZUPAN Primoz,8.0,yes
87,LOEFFLER Frank,7.0,yes
87,RADELJ Jure,7.0,no
89,EBENHOCH Fabian,6.0,yes
89,KRUCZEK Lukasz,6.0,yes
91,MYLLAERI Jani,5.0,yes
91,NISHIKATA Jinya,5.0,no
91,NORCIC Bine,5.0,yes
91,SMARISET Marius,5.0,yes
95,KRISMAYR Falko,4.0,no
95,WALLNER Matthias,4.0,no
97,HAUTAMAEKI Jussi,3.0,no
97,ZIVIC Milan,3.0,no
99,DORNER Karl-Heinz,2.0,no
99,KOCH Martin,2.0,yes
101,BREDESEN Espen,1.0,no
101,CHOI Yong-Jik,1.0,yes
101,FILIMONOV Stanislav,1.0,yes
101,GAY Jerome,1.0,no
101,HAKOLA Lauri,1.0,no
101,HAUTAMAEKI Matti,1.0,no
101,KRENEK Robert,1.0,no
101,LAJUNEN Akseli,1.0,yes
