Rank,Last Name and First Name,Points,Debut
1,TSCHOFENIG Daniel,1805.0,no
2,HOERL Jan,1652.0,no
3,KRAFT Stefan,1290.0,no
4,LANISEK Anze,1056.0,no
5,PASCHKE Pius,1006.0,no
6,DESCHWANDEN Gregor,996.0,no
7,WELLINGER Andreas,989.0,no
8,FORFANG Johann Andre,955.0,no
9,KOBAYASHI Ryoyu,910.0,no
10,PREVC Domen,776.0,no
11,ORTNER Maximilian,726.0,no
12,SUNDAL Kristoffer Eriksen,678.0,no
13,GEIGER Karl,638.0,no
14,WASEK Pawel,612.0,no
15,HAYBOECK Michael,587.0,no
16,ZAJC Timi,572.0,no
17,LINDVIK Marius,474.0,no
18,FETTNER Manuel,458.0,no
19,NIKAIDO Ren,444.0,no
20,GRANERUD Halvor Egner,267.0,no
20,ZNISZCZOL Aleksander,267.0,no
22,FRANTZ Tate,266.0,no
23,AIGRO Artti,245.0,no
24,RAIMUND Philipp,242.0,no
25,NAKAMURA Naoki,212.0,no
26,OESTVOLD Benjamin,211.0,no
27,FOUBERT Valentin,173.0,no
28,BICKNER Kevin,171.0,no
29,ZOGRAFSKI Vladimir,165.0,no
30,KOS Lovro,158.0,no
31,MUELLER Markus,157.0,no
31,STOCH Kamil,157.0,no
33,PEIER Killian,132.0,no
34,VILLUMSTAD Fredrik,127.0,no
35,KUBACKI Dawid,122.0,no
36,AALTO Antti,116.0,no
37,WOLNY Jakub,111.0,no
38,EISENBICHLER Markus,88.0,no
39,ZYLA Piotr,80.0,no
40,MARUSIAK Yevhen,76.0,no
40,KOBAYASHI Sakutaro,76.0,yes
42,EMBACHER Stephan,72.0,no
42,LEYHE Stephan,72.0,no
44,SATO Yukiya,69.0,no
45,MOGEL Zak,59.0,no
46,INSAM Alex,55.0,no
47,PEDERSEN Robin,47.0,no
48,JOHANSSON Robert,32.0,no
49,KYTOSAHO Niko,28.0,no
50,HOFFMANN Felix,27.0,no
51,BELSHAW Erik,26.0,no
52,VASSILYEV Danil,13.0,no
52,KOT Maciej,13.0,no
52,WASSER Yanick,13.0,yes
55,IPCIOGLU Fatih Arda,12.0,no
56,TITTEL Adrian,11.0,yes
56,COLBY Jason,11.0,yes
58,SATO Keiichi,10.0,no
59,NOUSIAINEN Eetu,7.0,no
60,MIZERNYKH Ilya,6.0,yes
61,MASLE Rok,5.0,no
61,STRAND Soelve Jokerud,5.0,yes
63,JELAR Ziga,4.0,no
64,KOUDELKA Roman,3.0,no
65,VALTO Kasperi,2.0,no
65,OBLAK Rok,2.0,yes
65,AMMANN Simon,2.0,no
68,URLAUB Andrew,1.0,no
68,AIGNER Clemens,1.0,no
68,KUISMA Tomas,1.0,yes
