Rank,Last Name and First Name,Points,Debut
1,LUNDBY Maren,1220.0,no
2,HOELZL Chiara,1155.0,no
3,PINKELNIG Eva,1029.0,no
4,TAKANASHI Sara,785.0,no
5,ALTHAUS Katharina,617.0,no
6,IRASCHKO-STOLZ Daniela,506.0,no
7,KRIZNAR Nika,497.0,no
8,KLINEC Ema,496.0,no
9,KRAMER Marita,475.0,no
10,OPSETH Silje,472.0,no
11,SEYFARTH Juliane,414.0,no
12,ITO Yuki,380.0,no
13,MARUYAMA Nozomi,355.0,no
14,SEIFRIEDSBERGER Jacqueline,321.0,no
15,MALSINER Lara,315.0,no
16,TIKHONOVA Sofia,242.0,no
17,STROEM Anna Odine,237.0,no
18,SETO Yuka,183.0,no
19,AVVAKUMOVA Irina,176.0,no
20,GOERLICH Luisa,165.0,no
21,EDER Lisa,154.0,no
22,ROGELJ Spela,150.0,no
23,IAKOVLEVA Lidiia,147.0,no
24,WUERTH Svenja,115.0,no
25,CLAIR Julia,108.0,no
26,FREITAG Selina,103.0,no
27,KOMAR Katra,95.0,no
28,RAJDA Kinga,93.0,no
29,REISCH Agnes,75.0,no
30,HARALAMBIE Daniela,58.0,no
31,BOGATAJ Ursa,53.0,no
32,PAGNIER Josephine,48.0,no
33,SHPYNEVA Anna,41.0,no
34,RUNGGALDIER Elena,30.0,no
34,IWABUCHI Kaori,30.0,no
36,MAKHINIA Irma,28.0,yes
37,AVOCAT GROS Oceane,22.0,no
38,LI Xueyao,21.0,no
39,BRECL Jerneja,19.0,no
40,SORSCHAG Sophie,17.0,yes
41,KYKKAENEN Julia,14.0,no
42,VOROS Virag,12.0,yes
43,BJOERSETH Thea Minyan,8.0,yes
44,PTACKOVA Stepanka,7.0,no
44,KABLUKOVA Ksenia,7.0,no
46,MORAT Lucile,5.0,no
47,KOBAYASHI Yuka,3.0,no
47,FORSSTROEM Susanna,3.0,no
47,NORSTEDT Astrid,3.0,yes
50,VTIC Maja,2.0,no
51,PARK Guylim,1.0,yes
51,MALSINER Manuela,1.0,no
