Rank,Last Name and First Name,Points,Debut
1,PETERKA Primoz,1402.0,no
2,THOMA Dieter,1208.0,no
3,FUNAKI Kazuyoshi,1018.0,no
4,OKABE Takanobu,941.0,no
5,SAITOH Hiroya,923.0,no
6,GOLDBERGER Andreas,817.0,no
7,BRENDEN Kristian,793.0,no
8,AHONEN Janne,734.0,no
9,SOININEN Jani,657.0,no
10,MALYSZ Adam,612.0,no
11,OTTESEN Lasse,545.0,no
12,NIKKOLA Ari-Pekka,464.0,no
13,LJOEKELSOEY Roar,462.0,no
14,LAITINEN Mika Antero,440.0,no
15,WIDHOELZL Andreas,401.0,no
16,BREDESEN Espen,384.0,no
17,KASAI Noriaki,351.0,no
18,DESSUM Nicolas,328.0,no
19,HOELLWARTH Martin,293.0,no
20,KANTEE Ville,255.0,yes
21,SUCHACEK Jakub,242.0,no
22,HOLSETER Sturle,234.0,no
23,JAEKLE Hansjoerg,219.0,no
23,SAKALA Jaroslav,219.0,no
25,HIGASHI Akira,211.0,no
26,REUTELER Bruno,200.0,no
27,FREIHOLZ Sylvain,173.0,no
28,LIE Haavard,160.0,yes
29,HARADA Masahiko,156.0,no
30,MATEJA Robert,154.0,yes
31,SCHWARZENBERGER Reinhard,152.0,no
32,GAY Jerome,151.0,no
33,SATO Masayuki,145.0,no
34,DUFFNER Christof,137.0,no
35,HORNGACHER Stefan,120.0,no
36,STEINAUER Marco,119.0,no
37,JOHANSSEN Kent,115.0,no
38,SUDA Kenji,104.0,no
39,MOLLARD Didier,102.0,no
40,MIYAHIRA Hideharu,94.0,yes
41,KYTOESAHO Pasi,93.0,yes
42,HAUTAMAEKI Jussi,90.0,no
43,CECON Roberto,89.0,no
44,GEBSTEDT Ralf,87.0,no
45,SAVOLAINEN Kimmo,73.0,no
46,KRENEK Roman,72.0,yes
47,JEZ Frantisek,69.0,no
48,BERNTSEN Simen,68.0,no
48,INGEBRIGTSEN Tommy,68.0,no
50,MEGLIC Robert,65.0,no
51,YOSHIOKA Kazuya,59.0,no
52,REICHEL Frank,58.0,no
53,DOLEZAL Michal,53.0,no
54,KRENEK Robert,50.0,yes
55,SCHMITT Martin,45.0,yes
56,HORNSCHUH Ronny,43.0,no
56,STENSRUD Henning,43.0,yes
58,BIELCIK Marian,42.0,no
59,HANNAWALD Sven,40.0,no
60,ZONTA Peter,38.0,no
61,BRENNA Wilhelm,32.0,yes
61,MATHIESEN Hein-Arne,32.0,yes
63,JUSSILAINEN Risto,31.0,no
64,GROENN Egil,29.0,yes
65,GOSTISA Samo,22.0,no
65,VOLKOV Alexander,22.0,yes
67,FRANC Urban,21.0,no
67,WALLNER Matthias,21.0,no
69,MOSER Christian,20.0,no
70,HIGASHI Kazuhiro,18.0,no
70,VORVIK Arne,18.0,no
72,SKUPIEN Wojciech,16.0,no
72,YASUZAKI Naoki,16.0,no
74,MEINEL Rico,15.0,no
75,KOPONEN Tero,14.0,no
75,MAYR Ingemar,14.0,no
77,CHEVALIER-GIROD Lucas,13.0,no
78,EIGENTLER Markus,12.0,yes
78,HAERE Frode,12.0,no
78,RADELJ Jure,12.0,no
81,VRHOVNIK Blaz,11.0,yes
82,KAHANEK Jaroslav,10.0,no
82,MATTILA Jani,10.0,no
82,VAEAETAEINEN Janne,10.0,no
82,VODNEV Dionis,10.0,no
86,HEGENBARTH Olaf,9.0,yes
86,KANEKO Yusuke,9.0,yes
88,MESIK Martin,8.0,yes
88,SCHALLERT Gerhard,8.0,no
88,SIEGMUND Gerd,8.0,no
91,JOHANSSON Fredrik,7.0,no
92,NIEMINEN Toni,6.0,no
93,MEYER Christian,4.0,yes
93,NAKAMURA Kazuhiro,4.0,yes
93,RATHMAYR Werner,4.0,no
96,ITO Naoto,3.0,no
96,JANDA Jakub,3.0,yes
96,STEGNAR Matija,3.0,yes
99,BOGATAJ Marko,2.0,no
99,GRUGGER Adolf,2.0,yes
99,JIROUTEK Jakub,2.0,no
99,KVARSTAD Stian,2.0,yes
