Rank,Last Name and First Name,Points,Debut
1,SAGEN Anette,1020.0,yes
2,VAN Lindsey,740.0,yes
3,IRASCHKO Daniela,620.0,yes
4,JAHR Line,567.0,yes
5,JEROME Jessica,525.0,yes
6,GRAESSLER Ulrike,519.0,yes
7,POGLADIC Monika,478.0,yes
8,VTIC Maja,374.0,yes
9,JOHNSON Alissa,304.0,yes
10,SEYFAHRT Juliane,292.0,yes
11,SEIFRIEDSBERGER Jaqueline,290.0,yes
12,SMEBY Henriette,277.0,yes
13,DEMETZ Lisa,239.0,yes
14,BENEDIK Petra,229.0,yes
15,GANSTER Eva,214.0,yes
16,DRAGE Tanja,162.0,yes
17,YAMADA Izumi,148.0,yes
18,MOHR Jenna,132.0,yes
19,RUNGGALDIER Elena,126.0,yes
20,KANAI Rieko,111.0,yes
21,BACKE Mari,94.0,yes
22,KECK Karla,88.0,yes
23,WATASE Ayumi,86.0,yes
24,KASAI Yoshiko,71.0,yes
25,BRENNA Ellis,59.0,yes
26,WILLIS Katie,50.0,yes
27,PRUCKER Valentine,48.0,yes
28,SCHMIDT Kristin,45.0,yes
29,STUFFER Barbara,44.0,yes
30,KANCILIJA Tamara,43.0,yes
31,TEPES Ania,40.0,yes
32,LOGAR Eva,36.0,yes
33,KOASA Seiko,33.0,yes
33,TANAKA Atsuko,33.0,yes
35,OLSSON Helena,25.0,yes
36,HUGHES Abby,22.0,yes
37,LYNCH Zoya,19.0,yes
38,FAISST Melanie,18.0,yes
38,HAEFELE Anna,18.0,yes
38,HILS Karina,18.0,yes
38,LYONS Taylor,18.0,yes
42,ARDOVINO Avery,17.0,yes
43,D AGOSTINA Roberta,15.0,yes
44,RAND Janne,14.0,yes
45,PERATHONER Jenny,12.0,yes
45,STEFANER Katrin,12.0,yes
47,KUEHORN Angelika,11.0,yes
47,POZUN Katja,11.0,yes
47,SMAAKASIN Stine,11.0,yes
50,FRISAK Live,10.0,yes
50,SCHNURR Magdalena,10.0,yes
52,PUSTKOVA Vladena,9.0,yes
53,KEPIC Nika,7.0,yes
54,RHOADS Brittany,6.0,yes
