Season,Rank,Last Name and First Name,Points
2010_2011,82,MARUYAMA Jun,5
2010_2011,82,ZOTOVA Maria,5
2010_2011,85,CHANG Xinyue,2
2010_2011,85,IWASA Haruka,2
2010_2011,87,GIANMOENA Veronica,1
2010_2011,87,HARALAMBIE Dana Vasilica,1
2011_2012,48,ZOBEL Veronika,5
2011_2012,49,GLADYSHEVA Anastasiya,3
2011_2012,50,DEJMKOVA Natalie,2
2012_2013,26,PRETORIUS Alexandra,105
2012_2013,36,LIU Qi,52
2012_2013,41,AVVAKUMOVA Irina,28
2012_2013,51,HOELZL Chiara,6
2012_2013,51,MALSINER Manuela,6
2013_2014,5,IRASCHKO-STOLZ Daniela,682
2013_2014,24,ERNST Gianina,192
2013_2014,47,FORSSTROEM Susanna,26
2013_2014,49,RAUDASCHL Elisabeth,16
2013_2014,53,JAVORSEK Anja,13
2013_2014,56,STROEM Anna Odine,10
2013_2014,58,BLAZKOVA Barbora,7
2013_2014,61,GRUSHINA Daria,5
2013_2014,63,SEPANDJ Jasmine,4
2013_2014,64,PALASZ Magdalena,3
2014_2015,7,PINKELNIG Eva,408
2014_2015,27,SETO Yuka,100
2014_2015,41,HESSLER Pauline,11
2014_2015,46,KRAUS Henriette,2
2015_2016,25,TIKHONOVA Sofia,141
2015_2016,31,HARALAMBIE Daniela,56
2015_2016,35,REISCH Agnes,42
2015_2016,36,KRIZNAR Nika,40
2015_2016,38,GOERLICH Luisa,32
2015_2016,40,OPSETH Silje,22
2015_2016,42,PESATOVA Zdena,18
2015_2016,44,KABLUKOVA Ksenia,12
2015_2016,47,PURKER Claudia,9
2015_2016,53,MALSINER Lara,1
2015_2016,53,RAJDA Kinga,1
2016_2017,24,MORAT Lucile,158
2016_2017,25,BARANNIKOVA Anastasiya,150
2016_2017,28,RINGQUIST Abby,106
2016_2017,42,AVOCAT GROS Oceane,47
2016_2017,44,BODNARCHUK Natasha,21
2016_2017,46,MORK Anniken,19
2016_2017,48,MAURER Nicole,12
2016_2017,55,DIEU Romane,6
2016_2017,56,EILERS Natalie,5
2016_2017,56,STRATE Abigail,5
2016_2017,59,KRAMER Marita,2
2016_2017,60,PARK Guy-Lim,1
2017_2018,31,BRECL Jerneja,67
2017_2018,34,EDER Lisa,46
2017_2018,36,BARANTCEVA Aleksandra,40
2017_2018,52,KOMAR Katra,2
2018_2019,13,IAKOVLEVA Lidiia,509
2018_2019,20,MARUYAMA Nozomi,283
2018_2019,30,PAGNIER Josephine,94
2018_2019,33,SHPYNEVA Anna,88
2018_2019,38,BRAATEN Ingebjoerg Saglien,36
2018_2019,45,KARPIEL Kamila,9
2018_2019,49,INDRACKOVA Karolina,6
2018_2019,49,PTACKOVA Stepanka,6
2018_2019,54,FREITAG Selina,3
2018_2019,54,OI Shihori,3
2018_2019,58,PESATOVA Zdenka,1
2019_2020,36,MAKHINIA Irma,28
2019_2020,40,SORSCHAG Sophie,17
2019_2020,42,VOROS Virag,12
2019_2020,43,BJOERSETH Thea Minyan,8
2019_2020,47,NORSTEDT Astrid,3
2019_2020,51,PARK Guylim,1
2020_2021,13,KVANDAL Eirin Maria,249
2020_2021,28,MALSINER Jessica,67
2020_2021,38,ULRICHOVA Klara,34
2020_2021,39,PROKOPIEVA Kristina,23
2020_2021,40,MUEHLBACHER Julia,20
2020_2021,41,RAUTIONAHO Jenny,16
2020_2021,44,TWARDOSZ Anna,8
2021_2022,13,WESTMAN Frida,358
2021_2022,18,KREUZER Chiara,291
2021_2022,22,PREVC Nika,199
2021_2022,32,LOUTITT Alexandria,94
2021_2022,40,PROKOPEVA Kristina,44
2021_2022,45,KONDERLA Nicole,19
2021_2022,47,DONG Bing,11
2021_2022,50,ARNET Sina,8
2021_2022,53,LAUE Josephin,4
2021_2022,56,MOHARITSCH Vanessa,1
2022_2023,35,MIYAJIMA Ringo,111
2022_2023,38,WIEGELE Hannah,83
2022_2023,39,MIDTSUNDSTAD Nora,78
2022_2023,40,BELSHAW Annika,60
2022_2023,44,GOEBEL Michelle,23
2022_2023,45,KOSNJEK Ajda,18
2022_2023,45,JONES Paige,18
2022_2023,48,NAKAYAMA Nagomi,16
2022_2023,49,WANG Liangyao,12
2022_2023,51,ICHINOHE Kurumi,6
2022_2023,51,PENG Qingyue,6
2022_2023,55,JOHNSON Josie,5
2022_2023,60,KUEBLER Pia Lilian,2
2022_2023,60,TORAZZA Emely,2
2022_2023,62,VETRIH Nika,1
2023_2024,10,SCHMID Katharina,751
2023_2024,22,SIEFF Annika,221
2023_2024,30,TRAASERUD Heidi Dyhre,95
2023_2024,34,ERZAR Tina,57
2023_2024,34,BODLAJ Taja,57
2023_2024,39,INDRACKOVA Anezka,31
2023_2024,42,GRAESLI Kjersti,24
2023_2024,44,MIDTSKOGEN Ingvild Synnoeve,22
2023_2024,47,CHERVET Emma,18
2023_2024,55,HOLZ Alvine,4
2023_2024,56,JESENKO Jerica,3
2023_2024,57,MACUGA Samantha,2
2023_2024,58,AMBROSI Martina,1
2023_2024,58,JENCOVA Veronika,1
2024_2025,35,SATO Yuzuki,49
2024_2025,46,WENG Yangning,20
2024_2025,46,VODAN Nika,20
2024_2025,50,SITAR Taja,15
2024_2025,51,HOLLANDT Anna,12
2024_2025,53,WADSAK Meghann,11
2024_2025,57,ZHOU Shiyu,6
2024_2025,58,BELTOWSKA Pola,3
2024_2025,58,KINDLIMANN Rea,3
2024_2025,60,INGOLIC Mia,2
2024_2025,61,KOMAR Tinkara,1
2025_2026,17,ZENG Ping,434
2025_2026,21,HANSEN Gyda Westvold,345
2025_2026,26,MIDTSKOGEN Ingvild,215
