Rank,Last Name and First Name,Points,Debut
1,KRIZNAR Nika,871.0,no
2,TAKANASHI Sara,862.0,no
3,KRAMER Marita,860.0,no
4,OPSETH Silje,692.0,no
5,IRASCHKO-STOLZ Daniela,516.0,no
6,KLINEC Ema,492.0,no
7,AVVAKUMOVA Irina,349.0,no
8,LUNDBY Maren,338.0,no
9,ALTHAUS Katharina,316.0,no
10,HOELZL Chiara,308.0,no
11,MARUYAMA Nozomi,292.0,no
12,SORSCHAG Sophie,260.0,no
13,KVANDAL Eirin Maria,249.0,yes
14,ITO Yuki,245.0,no
15,BJOERSETH Thea Minyan,236.0,no
16,BOGATAJ Ursa,232.0,no
17,RUPPRECHT Anna,225.0,no
18,CLAIR Julia,180.0,no
19,ROGELJ Spela,179.0,no
20,EDER Lisa,167.0,no
21,STROEM Anna Odine,165.0,no
22,PAGNIER Josephine,143.0,no
23,BRECL Jerneja,140.0,no
24,TIKHONOVA Sofia,92.0,no
25,MALSINER Lara,89.0,no
26,GOERLICH Luisa,79.0,no
27,PINKELNIG Eva,72.0,no
28,SEYFARTH Juliane,67.0,no
28,MALSINER Jessica,67.0,yes
30,SETO Yuka,66.0,no
31,IWABUCHI Kaori,60.0,no
32,VOGT Carina,59.0,no
33,KYKKAENEN Julia,56.0,no
34,MAKHINIA Irma,52.0,no
35,INDRACKOVA Karolina,47.0,no
36,KOMAR Katra,44.0,no
37,FREITAG Selina,43.0,no
38,ULRICHOVA Klara,34.0,yes
39,PROKOPIEVA Kristina,23.0,yes
40,MUEHLBACHER Julia,20.0,yes
41,RAUTIONAHO Jenny,16.0,yes
41,HARALAMBIE Daniela,16.0,no
43,REISCH Agnes,11.0,no
44,HESSLER Pauline,8.0,no
44,TWARDOSZ Anna,8.0,yes
46,SHPYNEVA Anna,7.0,no
47,RAJDA Kinga,1.0,no
47,STRATE Abigail,1.0,no
47,KARPIEL Kamila,1.0,no
