Rank,Last Name and First Name,Points,Debut
1,NYKAENEN Matti,277.0,no
2,BULAU Horst,260.0,no
3,KOGLER Armin,211.0,no
4,HANSSON Olav,186.0,no
5,BERGERUD Per,137.0,no
6,BRAATEN Steinar,126.0,yes
7,KOKKONEN Pentti,115.0,no
8,BREMSETH Ole,99.0,no
9,PUIKKONEN Jari,97.0,no
10,HASTINGS Jeff,93.0,no
10,PLOC Pavel,93.0,no
12,SCHALLERT Richard,90.0,no
13,VETTORI Ernst,86.0,no
14,WALLNER Hans,85.0,no
15,HOLLAND Mike,83.0,yes
16,WEISSFLOG Jens,80.0,yes
17,OSTWALD Klaus,73.0,no
18,ULAGA Primoz,70.0,no
19,BOEGSETH Jon Eilert,58.0,no
20,RUUD Roger,53.0,no
21,PUSENIUS Markku,52.0,no
22,SUMI Hansjörg,46.0,no
23,FINDEISEN Ulf,43.0,yes
24,FREITAG Holger,32.0,yes
24,MOBEKK Ivar,32.0,no
24,STANNARIUS Stefan,32.0,no
27,PARMA Jiri,30.0,yes
28,TEPES Miran,29.0,no
29,COLIN Gerard,28.0,no
29,TOMASI Lido,28.0,no
31,NEUPER Hubert,26.0,no
32,COLLINS Steve,24.0,no
32,OPAAS Vegard,24.0,no
34,KLAUSER Thomas,23.0,no
34,RICHARDS Ron,23.0,no
34,RIGONI Massimo,23.0,no
37,YLIPULLI Tuomo,21.0,yes
38,BAUER Andreas,19.0,no
38,WALDVOGEL Georg,19.0,no
40,KORHONEN Keijo,18.0,no
40,TROEN Jan Henrik,18.0,no
42,FIDJESTOEL Ole Gunnar,15.0,yes
43,FIJAS Pjotr,12.0,no
43,ZUEHLKE Reed,12.0,no
45,STEIERT Wolfgang,11.0,no
46,FELDER Andi,10.0,no
47,HOLMEN JENSEN Dag,9.0,no
47,SLUSNY Miro,9.0,no
49,BERG Rolf Age,8.0,yes
50,DECKERT Manfred,7.0,no
50,DENNEY John,7.0,no
50,HIRNER Rupert,7.0,yes
53,BROMAN J.,6.0,no
53,EIDHAMMER Ole-Christian,6.0,yes
55,KONOPACKE Mark,5.0,yes
55,OSERNIK Sergej,5.0,yes
57,MCGRANE Dennis,4.0,yes
57,PROKOPENKO Gennadi,4.0,yes
57,STOLZLECHNER Nils,4.0,yes
60,KALSO Jukka,3.0,yes
60,STROEMBERG Jan Erik,3.0,no
60,TANCZOS Jan,3.0,no
63,LOTRIC Rajko,1.0,no
63,SAETRE Johan,1.0,no
63,STEINER Manfred,1.0,no
63,SVAGERKO Martin,1.0,yes
