Rank,Last Name and First Name,Points,Debut
1,SAGEN Anette,1540.0,no
2,VAN Lindsey-M,1159.0,yes
3,JEROME Jessica,860.0,no
4,JAHR Line,837.0,no
5,SEYFAHRT Juliane,757.0,no
6,DEMETZ Lisa,574.0,no
7,IRASCHKO Daniela,511.0,no
8,TANAKA Atsuko,491.0,no
9,HUGHES Abby,480.0,no
10,GRAESSLER Ulrike,463.0,no
11,JOHNSON Alissa,403.0,no
12,KASAI Yoshiko,381.0,no
13,YAMADA Izumi,352.0,no
14,VTIC Maja,334.0,no
15,ELLIS Brenna,318.0,yes
16,SEIFRIEDSBERGER Jaqueline,311.0,no
17,WILLIS Katie,263.0,no
18,WATASE Ayumi,232.0,no
19,MOHR Jenna,226.0,no
20,FAISST Melanie,215.0,no
21,PUSTKOVA Vladena,207.0,no
22,RUNGGALDIER Elena,193.0,no
23,KANAI Rieko,178.0,no
24,LOGAR Eva,139.0,no
25,REXHAEUSER Lisa,133.0,yes
26,STUFFER Barbara,131.0,no
27,POZUN Katja,129.0,no
28,BACKE Mari,116.0,no
29,D AGOSTINA Roberta,114.0,no
30,DE LEEUW Nata,87.0,yes
31,KABE Erina,79.0,yes
32,POGLADIC Monika,71.0,no
33,TEPES Anja,70.0,yes
34,HAEFELE Anna,62.0,no
34,SCHMIDT Kristin,62.0,no
36,KRIEG Stephani,36.0,yes
37,SHIGENO Misaki,28.0,yes
38,SCHNURR Magdalena,26.0,no
39,ARDOVINO Avery,24.0,no
40,HIRAYAMA Yurika,23.0,yes
40,KECK Karla,23.0,no
40,SMAAKASIN Stine,23.0,no
43,PRUCKER Valentine,22.0,no
44,TAKEDA Ayuka,20.0,yes
45,FUEKI Misa,18.0,yes
45,SPRAKEHAUG Silje,18.0,yes
47,MOTOYAMA Yuka,16.0,yes
47,STEFANER Katrin,16.0,no
49,FRIDTUN Kristin,15.0,yes
50,POCK Verena,14.0,yes
51,ENGER Gyda,12.0,yes
51,TEMME Andrea,12.0,yes
53,FRISAK Live,10.0,no
54,PLANINC Monika,9.0,yes
55,HAUER Nicole,7.0,yes
56,ANDERSSON Elisabeth,6.0,yes
56,MOSER Franziska,6.0,yes
56,WINDMUELLER Bigna,6.0,yes
59,RHOADS Brittany-L,4.0,yes
59,STENSETH Marthea,4.0,yes
61,VORHOFER Hanna,2.0,yes
