Rank,Last Name and First Name,Points,Debut
1,KOBAYASHI Ryoyu,1621.0,no
2,GEIGER Karl,1515.0,no
3,LINDVIK Marius,1231.0,no
4,GRANERUD Halvor Egner,1227.0,no
5,KRAFT Stefan,1069.0,no
6,EISENBICHLER Markus,950.0,no
7,LANISEK Anze,936.0,no
8,ZAJC Timi,711.0,no
9,HOERL Jan,662.0,no
10,PREVC Cene,657.0,no
11,HUBER Daniel,556.0,no
12,JOHANSSON Robert,531.0,no
13,SATO Yukiya,530.0,no
14,ZYLA Piotr,480.0,no
15,PREVC Peter,460.0,no
16,PEIER Killian,451.0,no
17,FETTNER Manuel,424.0,no
18,KOS Lovro,403.0,no
19,STOCH Kamil,397.0,no
20,JELAR Ziga,389.0,no
21,TANDE Daniel Andre,339.0,no
22,LEYHE Stephan,333.0,no
23,SCHMID Constantin,332.0,no
24,FORFANG Johann Andre,303.0,no
25,TSCHOFENIG Daniel,251.0,no
26,DESCHWANDEN Gregor,243.0,no
27,KUBACKI Dawid,231.0,no
28,ASCHENWALD Philipp,220.0,no
29,WELLINGER Andreas,219.0,no
30,FREUND Severin,211.0,no
31,NAKAMURA Naoki,196.0,no
32,KOBAYASHI Junshiro,179.0,no
33,PASCHKE Pius,174.0,no
34,KLIMOV Evgeniy,163.0,no
35,AIGNER Clemens,153.0,no
36,WOHLGENANNT Ulrich,133.0,no
37,HAYBOECK Michael,117.0,no
38,SADREEV Danil,101.0,no
39,ITO Daiki,88.0,no
40,NOUSIAINEN Eetu,65.0,no
41,AMMANN Simon,64.0,no
42,VILLUMSTAD Fredrik,62.0,yes
43,WASEK Pawel,61.0,no
44,PREVC Domen,60.0,no
45,LACKNER Thomas,49.0,no
46,HEGGLI Bendik Jakobsen,48.0,yes
47,WOLNY Jakub,46.0,no
48,LISSO Justin,44.0,yes
49,SATO Keiichi,38.0,no
50,ZOGRAFSKI Vladimir,35.0,no
50,KYTOSAHO Niko,35.0,no
52,MUELLER Markus,34.0,yes
53,SCHIFFNER Markus,31.0,no
53,PEDERSEN Robin,31.0,no
55,AIGRO Artti,30.0,no
56,TROFIMOV Roman Sergeevich,29.0,no
57,PETER Dominik,23.0,no
58,AALTO Antti,22.0,no
59,FREITAG Richard,20.0,no
60,STEKALA Andrzej,19.0,no
61,SEMENIC Anze,17.0,no
62,RAIMUND Philipp,16.0,yes
63,BOYD-CLOWES Mackenzie,15.0,no
64,NAZAROV Mikhail,10.0,no
65,PAVLOVCIC Bor,9.0,no
66,STEINER Maximilian,8.0,no
66,ZNISZCZOL Aleksander,8.0,no
66,DEAN Decker,8.0,yes
69,RUPITSCH Markus,7.0,yes
69,BJOERENG Joacim Oedegaard,7.0,no
71,FANNEMEL Anders,6.0,no
71,BAZHENOV Aleksandr,6.0,yes
71,BRESADOLA Giovanni,6.0,no
74,KOUDELKA Roman,4.0,no
74,HULA Stefan,4.0,no
76,IPCIOGLU Fatih Arda,2.0,yes
