Rank,Last Name and First Name,Points,Debut
1,IRASCHKO Daniela,1644.0,no
2,GRAESSLER Ulrike,1307.0,no
3,SAGEN Anette,1152.0,no
4,LOGAR Eva,632.0,no
5,FAISST Melanie,552.0,no
6,HENDRICKSON Sarah,524.0,no
7,JAHR Line,517.0,no
8,VOGT Carina,441.0,no
9,JOHNSON Alissa,419.0,no
10,SEIFRIEDSBERGER Jacqueline,404.0,no
11,SEYFARTH Juliane,402.0,no
12,JEROME Jessica,377.0,no
13,INSAM Evelyn,315.0,no
14,MATTEL Coline,314.0,no
15,TAKANASHI Sara,312.0,no
16,ROGELJ Spela,277.0,no
17,WATASE Ayumi,276.0,no
18,RUNGGALDIER Elena,238.0,no
19,WINDMUELLER Sabrina,234.0,no
20,KANAI Rieko,218.0,no
21,WINDMUELLER Bigna,166.0,no
22,MOHR Jenna,157.0,no
23,ESPIAU Caroline,153.0,no
24,DOLEZELOVA Michaela,140.0,no
25,HUGHES Abby,130.0,no
26,HAEFELE Anna,125.0,no
27,ITOH Yuuki,120.0,no
28,DEMETZ Lisa,119.0,no
28,STRAUB Ramona,119.0,no
30,KYKKAENEN Julia,86.0,no
31,KEIL Katharina,80.0,no
32,SMEBY Helena Olsson,77.0,no
33,SCHNURR Magdalena,76.0,no
34,ENGER Gyda,75.0,no
35,TEPES Anja,67.0,no
36,FUCHS Salome,65.0,no
37,THOMAE Lara,63.0,no
37,WUERTH Svenja,63.0,no
39,KASAI Yoshiko,51.0,no
40,TANAKA Atsuko,49.0,no
41,IWABUCHI Kaori,46.0,no
42,ROIDER Cornelia,44.0,yes
43,RUPPRECHT Anna,39.0,yes
44,VUIK Wendy,36.0,no
45,D AGOSTINA Roberta,32.0,no
46,CLAIR Julia,28.0,yes
47,KOASA Seiko,26.0,no
48,TAKEDA Ayuka,22.0,no
49,HIRAYAMA Yurika,19.0,no
49,SHIGENO Misaki,19.0,no
51,LUNDBY Maren,15.0,no
52,SAWAYA Natsuka,14.0,no
53,PUSTKOVA Vladena,13.0,no
54,KITAMURA Saki,12.0,no
55,SPRAKEHAUG Silje,11.0,no
56,POGRAJC Manja,10.0,no
57,BACKE Mari,9.0,no
58,MATSUHASHI Aki,8.0,no
59,MIKOVA Lucie,7.0,no
59,YAMADA Yurina,7.0,no
61,TAKTAEVA Irina,6.0,yes
61,YAMAGUCHI Mizuki,6.0,no
63,FUEKI Misa,4.0,no
63,KABE Erina,4.0,no
63,SCHUBERT Franziska,4.0,no
66,BOGATAJ Ursa,3.0,no
66,LEMARE Lea,3.0,yes
68,SENONER Simona,2.0,no
69,KIENZER Anna,1.0,no
69,KOBAYASHI Yuka,1.0,no
