Rank,Last Name and First Name,Points,Debut
1,FREUND Severin,1729.0,no
1,PREVC Peter,1729.0,no
3,KRAFT Stefan,1578.0,no
4,FANNEMEL Anders,1161.0,no
5,HAYBOECK Michael,1157.0,no
6,KASAI Noriaki,1137.0,no
7,KOUDELKA Roman,1113.0,no
8,VELTA Rune,848.0,no
9,STOCH Kamil,820.0,no
10,SCHLIERENZAUER Gregor,739.0,no
11,AMMANN Simon,646.0,no
12,FREITAG Richard,622.0,no
13,TEPES Jurij,554.0,no
14,DAMJAN Jernej,535.0,no
15,EISENBICHLER Markus,529.0,no
16,ITO Daiki,513.0,no
17,JACOBSEN Anders,511.0,no
18,BARDAL Anders,477.0,no
19,ZYLA Piotr,474.0,no
20,TAKEUCHI Taku,363.0,no
21,NEUMAYER Michael,347.0,no
22,KRAUS Marinus,327.0,no
23,FORFANG Johann Andre,325.0,yes
24,DEZMAN Nejc,224.0,no
25,PUNGERTAR Matjaz,205.0,no
26,KRANJEC Robert,201.0,no
27,DESCHWANDEN Gregor,189.0,no
28,DESCOMBES SEVOIE Vincent,179.0,no
29,KOFLER Andreas,173.0,no
30,ASIKAINEN Lauri,157.0,no
31,SJOEEN Phillip,155.0,yes
32,MAEAETTAE Jarkko,151.0,no
33,FETTNER Manuel,146.0,no
34,VASSILIEV Dimitry,145.0,no
35,WELLINGER Andreas,137.0,no
36,STJERNEN Andreas,134.0,no
37,POPPINGER Manuel,128.0,no
38,LEYHE Stephan,120.0,yes
39,HILDE Tom,118.0,no
40,MATURA Jan,114.0,no
41,GANGNES Kenneth,113.0,no
42,MURANKA Klemens,102.0,no
43,DIETHART Thomas,99.0,no
44,KOBAYASHI Junshiro,95.0,no
45,TANDE Daniel-Andre,81.0,no
46,TOCHIMOTO Shohei,79.0,no
47,BOYARINTSEV Vladislav,77.0,yes
48,ZNISZCZOL Aleksander,75.0,no
49,SAKUYAMA Kento,62.0,no
50,ZIOBRO Jan,55.0,no
51,WANK Andreas,54.0,no
52,BRESADOLA Davide,48.0,no
53,KUBACKI Dawid,35.0,no
53,LARINTO Ville,35.0,no
53,SEMENIC Anze,35.0,yes
56,JANDA Jakub,34.0,no
57,HAZETDINOV Ilmir,32.0,yes
58,AHONEN Janne,29.0,no
59,PREVC Cene,27.0,no
60,MAKSIMOCHKIN Mikhail,26.0,no
61,HAJEK Antonin,24.0,no
62,LANISEK Anze,23.0,yes
63,NIEMI Sami,19.0,no
64,KOIVURANTA Anssi,18.0,no
65,KOT Maciej,17.0,no
66,PEIER Killian,15.0,yes
67,HAUER Joachim,14.0,yes
67,WOHLGENANNT Ulrich,14.0,yes
69,LAMY CHAPPUIS Ronan,13.0,no
70,WENIG Daniel,11.0,yes
70,ZOGRAFSKI Vladimir,11.0,no
72,LOITZL Wolfgang,8.0,no
73,KORNILOV Denis,6.0,no
73,NAGLIC Tomaz,6.0,no
75,GEIGER Karl,5.0,no
75,JOHANSSON Robert,5.0,no
75,JUSTIN Rok,5.0,no
78,ALEXANDER Nicholas,4.0,yes
78,HLAVA Lukas,4.0,no
78,HULA Stefan,4.0,no
78,INGVALDSEN Ole Marius,4.0,no
82,CHOI Seou,2.0,yes
82,ITO Kenshiro,2.0,no
82,PASCHKE Pius,2.0,yes
85,GREIDERER Simon,1.0,yes
85,OLLI Harri,1.0,no
85,ROMASHOV Alexey,1.0,no
