Rank,Last Name and First Name,Points,Debut
1,AMMANN Simon,1649.0,no
2,SCHLIERENZAUER Gregor,1368.0,no
3,MORGENSTERN Thomas,944.0,no
4,KOFLER Andreas,893.0,no
5,MALYSZ Adam,842.0,no
6,LOITZL Wolfgang,760.0,no
7,JACOBSEN Anders,557.0,no
8,KOCH Martin,545.0,no
9,ROMOEREN Bjoern Einar,517.0,no
10,KRANJEC Robert,503.0,no
11,AHONEN Janne,494.0,no
12,UHRMANN Michael,424.0,no
13,ZAUNER David,403.0,yes
14,OLLI Harri,367.0,no
15,CHEDAL Emmanuel,365.0,no
16,ITO Daiki,359.0,no
17,KASAI Noriaki,344.0,no
18,EVENSEN Johan Remen,337.0,no
19,BODMER Pascal,336.0,no
20,NEUMAYER Michael,285.0,no
21,WANK Andreas,259.0,no
22,JANDA Jakub,256.0,no
23,HAJEK Antonin,230.0,no
24,STOCH Kamil,203.0,no
25,THURNBICHLER Stefan,201.0,no
26,HILDE Tom,180.0,no
27,HAUTAMAEKI Matti,154.0,no
28,VASSILIEV Dimitry,151.0,no
29,SCHMITT Martin,150.0,no
30,LJOEKELSOEY Roar,140.0,no
31,DAMJAN Jernej,134.0,no
32,TOCHIMOTO Shohei,124.0,no
33,KUETTEL Andreas,111.0,no
34,KEITURI Kalle,110.0,no
35,PREVC Peter,106.0,yes
36,BARDAL Anders,99.0,no
37,COLLOREDO Sebastian,96.0,no
38,YUMOTO Fumihisa,84.0,no
39,FETTNER Manuel,82.0,no
39,INNAUER Mario,82.0,no
41,RUTKOWSKI Lukasz,79.0,no
42,FREUND Severin,75.0,no
43,MUELLER Lukas,71.0,no
44,MEZNAR Mitja,64.0,no
45,MIETUS Krzysztof,60.0,no
45,MORASSI Andrea,60.0,no
47,DESCOMBES SEVOIE Vincent,59.0,no
48,HLAVA Lukas,56.0,no
49,HAPPONEN Janne,54.0,no
49,HAYBOECK Michael,54.0,yes
49,TAKEUCHI Taku,54.0,no
52,SEDLAK Borek,51.0,no
53,MATURA Jan,45.0,no
54,SPAETH Georg,42.0,no
55,MUOTKA Olli,41.0,yes
56,STJERNEN Andreas,36.0,yes
57,KARELIN Pavel,34.0,no
58,PIKL Primoz,33.0,no
59,BACHLEDA Marcin,32.0,no
60,FANNEMEL Anders,26.0,yes
60,KORNILOV Denis,26.0,no
62,CIKL Martin,23.0,no
63,HULA Stefan,20.0,no
63,KOUDELKA Roman,20.0,no
63,MIETUS Grzegorz,20.0,yes
66,SAKANO Yukio,17.0,no
67,LARINTO Ville,16.0,no
68,SHUMBARETS Vitaliy,13.0,no
69,KOKKONEN Akseli,11.0,no
69,SKLETT Vegard-Haukoe,11.0,yes
71,SAKUYAMA Kento,10.0,yes
71,TEPES Jurij,10.0,no
73,YOSHIOKA Kazuya,9.0,no
74,MECHLER Maximilian,8.0,no
75,WATASE Yuta,7.0,no
76,IPATOV Dimitry,6.0,no
77,SCHABEREITER Florian,5.0,yes
77,YLIRIESTO Kimmo,5.0,no
79,HRGOTA Robert,4.0,no
80,HOCKE Stephan,3.0,no
80,ROSLIAKOV Ilja,3.0,no
82,DELLASEGA Roberto,2.0,yes
82,HIGASHI Akira,2.0,no
82,KARPENKO Nikolay,2.0,no
82,KIM Hyun-Ki,2.0,no
82,KOROLEV Alex,2.0,yes
82,KOVALJEFF Kai,2.0,no
82,OKABE Takanobu,2.0,no
82,ROENSEN Atle Pedersen,2.0,yes
90,BOGNER Tobias,1.0,yes
90,FREITAG Richard,1.0,yes
90,GANGNES Kenneth,1.0,yes
