Rank,Last Name and First Name,Points,Debut
1,GOLDBERGER Andreas,1571.0,no
2,CECON Roberto,935.0,no
3,AHONEN Janne,869.0,no
4,FUNAKI Kazuyoshi,843.0,yes
5,OKABE Takanobu,821.0,no
6,WEISSFLOG Jens,683.0,no
7,SOININEN Jani,606.0,no
8,NIKKOLA Ari-Pekka,572.0,no
9,LAITINEN Mika Antero,564.0,no
10,OTTESEN Lasse,472.0,no
11,NIEMINEN Toni,464.0,no
12,DESSUM Nicolas,443.0,no
13,JEAN-PROST Nicolas,421.0,no
14,SCHWARZENBERGER Reinhard,394.0,yes
15,BREDESEN Espen,356.0,no
16,SUCHACEK Jakub,338.0,no
17,JAEKLE Hansjoerg,270.0,no
18,THOMA Dieter,240.0,no
19,ITO Naoto,225.0,no
20,PETEK Franci,215.0,no
21,MOSER Christian,202.0,no
22,SIEGMUND Gerd,200.0,no
23,REUTELER Bruno,182.0,no
24,FRANC Urban,180.0,no
25,NISHIKATA Jinya,171.0,no
26,WIDHOELZL Andreas,169.0,yes
27,SAITO Hiroya,151.0,no
28,MOLLARD Didier,129.0,no
28,YASUZAKI Naoki,129.0,no
30,MEGLIC Robert,108.0,no
31,MEINEL Rico,102.0,yes
31,PARMA Jiri,102.0,no
33,LJOEKELSOEY Roar,96.0,no
34,GEBSTEDT Ralf,91.0,no
34,SAKALA Jaroslav,91.0,no
36,KROMPOLC Zbynek,90.0,no
37,JEZ Frantisek,86.0,no
38,TRUNZ Martin,85.0,no
39,FREIHOLZ Sylvain,69.0,no
40,CHEVALIER-GIROD Lucas,66.0,yes
41,JEKOVEC Dajan,65.0,no
42,FUKITA Yukitaka,62.0,yes
43,KAHANEK Jaroslav,61.0,yes
44,DUFFNER Christof,57.0,no
45,MAYR Ingemar,51.0,yes
46,HAIM Werner,50.0,no
47,KOPONEN Tero,49.0,no
48,HAERE Frode,48.0,yes
48,SCHERER Andreas,48.0,no
50,BRENDRYEN Helge,41.0,no
51,MALYSZ Adam,40.0,yes
51,MYRBAKKEN Bjoern,40.0,no
53,HOELLWARTH Martin,37.0,no
54,JUSSILAINEN Risto,34.0,no
55,JOHANSSEN Kent,32.0,no
56,GAY Jerome,30.0,no
56,SKUPIEN Wojciech,30.0,no
58,PERTILE Ivo,29.0,no
59,GOSTISA Samo,27.0,no
59,HARADA Masahiko,27.0,no
59,RASMUSSEN Johan,27.0,no
59,RATHMAYR Werner,27.0,no
63,HANNAWALD Sven,26.0,no
63,HIGASHI Kazuhiro,26.0,no
63,HORNSCHUH Ronny,26.0,no
63,MARTINSSON Mikael,26.0,no
67,HAKALA Vaesa,24.0,no
67,KUTTIN Heinz,24.0,no
67,SAVOLAINEN Kimmo,24.0,no
70,REVUZ Yannick,23.0,yes
70,TURKKI T.,23.0,yes
72,KLADNIK Matjaz,22.0,no
73,HOLSETER Sturle,20.0,yes
73,TUFF Stein Henrik,20.0,yes
75,DLUHOS Ladislav,18.0,no
76,DYBLIE Alf,13.0,yes
76,HALVORSEN Eirik,13.0,yes
76,YOSHIOKA Kazuya,13.0,yes
79,SIEBERT Steffen,12.0,no
80,VAEAETAEINEN Janne,11.0,no
81,ZUEND Stephan,10.0,no
82,BIELCIK Marian,9.0,no
82,HERR Alexander,9.0,yes
82,SAKURAI Hitoshi,9.0,no
82,SALO J.,9.0,yes
86,KLINGA Jani,8.0,yes
86,ZEHNDER Sepp,8.0,no
88,SATO Masayuki,6.0,no
89,SMEDBYE Jostein,5.0,yes
90,SHIBUYA Jyun,4.0,yes
91,SASAKI Takayuki,3.0,no
91,SCHALLERT Gerhard,3.0,no
93,BOERSETH Kurt,1.0,no
93,BOGATAJ Marko,1.0,yes
93,SCHUSTER Werner,1.0,no
93,ZUPANCIC Z.,1.0,yes
