Rank,Last Name and First Name,Points,Debut
1,TAKANASHI Sara,1297.0,no
2,HENDRICKSON Sarah,1047.0,no
3,MATTEL Coline,823.0,no
4,SEIFRIEDSBERGER Jacqueline,817.0,no
5,SAGEN Anette,612.0,no
6,POZUN Katja,499.0,no
7,VOGT Carina,481.0,no
8,VAN Lindsey,432.0,no
9,JEROME Jessica,422.0,no
10,IRASCHKO Daniela,390.0,no
11,ROGELJ Spela,387.0,no
12,INSAM Evelyn,373.0,no
13,JAHR Line,348.0,no
14,BOGATAJ Ursa,338.0,no
15,LOGAR Eva,284.0,no
16,VTIC Maja,244.0,no
17,TEPES Anja,228.0,no
18,ITO Yuki,210.0,no
19,TANAKA Atsuko,208.0,no
20,RUNGGALDIER Elena,205.0,no
21,HUGHES Abby,160.0,no
22,ALTHAUS Katharina,141.0,no
23,LUNDBY Maren,133.0,no
24,LEMARE Lea,122.0,no
25,FAISST Melanie,111.0,no
26,PRETORIUS Alexandra,105.0,yes
27,JOHNSON Alissa,99.0,no
28,VUIK Wendy,91.0,no
29,CLAIR Julia,88.0,no
29,SHIGENO Misaki,88.0,no
31,HIRAYAMA Yurika,79.0,no
32,WUERTH Svenja,78.0,no
33,GRAESSLER Ulrike,71.0,no
33,WINDMUELLER Bigna,71.0,no
35,HENRICH Taylor,61.0,no
36,LIU Qi,52.0,yes
37,KYKKAENEN Julia,47.0,no
38,STRAUB Ramona,40.0,no
39,DOLEZELOVA Michaela,37.0,no
40,WATASE Ayumi,30.0,no
41,AVVAKUMOVA Irina,28.0,yes
42,GLADYSHEVA Anastasiya,23.0,no
42,D AGOSTINA Roberta,23.0,no
44,SEYFARTH Juliane,22.0,no
45,YAMADA Yurina,21.0,no
46,TAKEDA Ayuka,16.0,no
47,KOASA Seiko,12.0,no
48,KLINEC Barbara,11.0,no
49,ENGER Gyda,10.0,no
50,HAEFELE Anna,8.0,no
51,HOELZL Chiara,6.0,yes
51,MALSINER Manuela,6.0,yes
51,SCHOITSCH Sonja,6.0,no
54,MATSUHASHI Aki,1.0,no
54,KASAI Yoshiko,1.0,no
