Rank,Last Name and First Name,Points,Debut
1,PREVC Peter,2303.0,no
2,FREUND Severin,1490.0,no
3,GANGNES Kenneth,1348.0,no
4,HAYBOECK Michael,1301.0,no
5,FORFANG Johann Andre,1240.0,no
6,KRAFT Stefan,1006.0,no
7,TANDE Daniel Andre,985.0,yes
8,KASAI Noriaki,909.0,no
9,FREITAG Richard,680.0,no
10,FANNEMEL Anders,670.0,no
11,KOUDELKA Roman,650.0,no
12,STJERNEN Andreas,607.0,no
13,KRANJEC Robert,603.0,no
14,PREVC Domen,486.0,yes
15,AMMANN Simon,480.0,no
16,ITO Daiki,476.0,no
17,WELLINGER Andreas,408.0,no
18,TAKEUCHI Taku,398.0,no
19,WANK Andreas,369.0,no
20,HAUER Joachim,356.0,no
21,TEPES Jurij,307.0,no
22,STOCH Kamil,295.0,no
23,LEYHE Stephan,257.0,no
24,FETTNER Manuel,238.0,no
25,LANISEK Anze,232.0,no
26,HULA Stefan,227.0,no
27,POPPINGER Manuel,208.0,no
28,DESCOMBES SEVOIE Vincent,204.0,no
29,KUBACKI Dawid,182.0,no
30,GEIGER Karl,174.0,no
31,KOT Maciej,165.0,no
32,JANDA Jakub,164.0,no
33,MATURA Jan,118.0,no
34,STEKALA Andrzej,105.0,yes
35,HLAVA Lukas,89.0,no
35,ZYLA Piotr,89.0,no
37,HILDE Tom,74.0,no
38,KOFLER Andreas,62.0,no
39,DESCHWANDEN Gregor,61.0,no
39,EISENBICHLER Markus,61.0,no
41,KRAUS Marinus,57.0,no
42,KOBAYASHI Ryoyu,55.0,yes
43,SCHLIERENZAUER Gregor,53.0,no
44,ASCHENWALD Philipp,50.0,yes
44,BOYD-CLOWES Mackenzie,50.0,no
46,HVALA Jaka,46.0,no
47,SAKUYAMA Kento,43.0,no
48,ASIKAINEN Lauri,42.0,no
49,SIEGEL David,37.0,yes
50,MURANKA Klemens,36.0,no
51,HOFER Thomas,25.0,yes
52,LAMY CHAPPUIS Ronan,24.0,no
52,NEUMAYER Michael,24.0,no
54,HAZETDINOV Ilmir,23.0,no
55,TOCHIMOTO Shohei,22.0,no
56,KLIMOV Evgeniy,21.0,yes
57,PAVLOVCIC Bor,20.0,yes
58,JOHANSSON Robert,19.0,no
59,ITO Kenshiro,16.0,no
60,LARINTO Ville,14.0,no
61,KOBAYASHI Junshiro,13.0,no
62,KORNILOV Denis,12.0,no
63,COLLOREDO Sebastian,11.0,no
64,SEMENIC Anze,8.0,no
65,KOZISEK Cestmir,7.0,no
65,SCHIFFNER Markus,7.0,yes
67,NAKAMURA Naoki,6.0,yes
67,ZOGRAFSKI Vladimir,6.0,no
69,POGRAJC Andraz,5.0,no
69,WOLNY Jakub,5.0,yes
71,BJOERENG Joacim Oedegaard,3.0,yes
71,KALINITSCHENKO Anton,3.0,no
71,VANCURA Tomas,3.0,yes
74,AIGNER Clemens,2.0,yes
74,PASCHKE Pius,2.0,no
74,PEIER Killian,2.0,no
77,BICKNER Kevin,1.0,yes
