Rank,Last Name and First Name,Points,Debut
1,TAKANASHI Sara,1610.0,no
2,IRASCHKO-STOLZ Daniela,1139.0,no
3,VTIC Maja,908.0,no
4,SEIFRIEDSBERGER Jacqueline,695.0,no
5,HOELZL Chiara,632.0,no
6,LUNDBY Maren,586.0,no
7,AVVAKUMOVA Irina,572.0,no
8,ITO Yuki,505.0,no
9,KLINEC Ema,426.0,no
10,ROGELJ Spela,415.0,no
11,VOGT Carina,345.0,no
12,ALTHAUS Katharina,341.0,no
13,ENGLUND Nita,339.0,no
14,SEYFARTH Juliane,320.0,no
15,PINKELNIG Eva,313.0,no
16,RUNGGALDIER Elena,284.0,no
17,SETO Yuka,257.0,no
18,CLAIR Julia,251.0,no
19,BOGATAJ Ursa,235.0,no
20,HENRICH Taylor,226.0,no
21,KYKKAENEN Julia,204.0,no
22,IWABUCHI Kaori,191.0,no
23,POZUN Katja,160.0,no
24,RUPPRECHT Anna,153.0,no
25,TIKHONOVA Sofia,141.0,yes
26,LOGAR Eva,106.0,no
27,RAUDASCHL Elisabeth,98.0,no
28,GERAGHTY-MOATS Tara,92.0,no
29,JAHR Line,91.0,no
30,INSAM Evelyn,75.0,no
31,HARALAMBIE Daniela,56.0,yes
32,GLADYSHEVA Anastasiya,51.0,no
33,MATTEL Coline,43.0,no
33,WUERTH Svenja,43.0,no
35,REISCH Agnes,42.0,yes
36,HESSLER Pauline,40.0,no
36,KRIZNAR Nika,40.0,yes
38,ERNST Gianina,32.0,no
38,GOERLICH Luisa,32.0,yes
40,MALSINER Manuela,22.0,no
40,OPSETH Silje,22.0,yes
42,PESATOVA Zdena,18.0,yes
43,HUGHES Abby,14.0,no
44,KABLUKOVA Ksenia,12.0,yes
45,KUSTOVA Alexandra,11.0,no
46,STRAUB Ramona,10.0,no
47,PURKER Claudia,9.0,yes
48,STROEM Anna Odine,8.0,no
49,BLAZKOVA Barbora,6.0,no
50,LEMARE Lea,4.0,no
51,TANAKA Atsuko,3.0,no
52,MARUYAMA Jun,2.0,no
53,MALSINER Lara,1.0,yes
53,RAJDA Kinga,1.0,yes
53,WINDMUELLER Sabrina,1.0,no
