Rank,Last Name and First Name,Points,Debut
1,PREVC Nika,1454.0,no
2,PINKELNIG Eva,1305.0,no
3,LOUTITT Alexandria,1030.0,no
4,ITO Yuki,1018.0,no
5,SEIFRIEDSBERGER Jacqueline,935.0,no
6,KRIZNAR Nika,893.0,no
7,KVANDAL Eirin Maria,843.0,no
7,PAGNIER Josephine,843.0,no
9,TAKANASHI Sara,799.0,no
10,SCHMID Katharina,751.0,yes
11,OPSETH Silje,628.0,no
12,RAUTIONAHO Jenny,598.0,no
13,KLINEC Ema,540.0,no
14,BJOERSETH Thea Minyan,508.0,no
15,KRAMER Marita,497.0,no
16,EDER Lisa,488.0,no
17,STRATE Abigail,424.0,no
18,FREITAG Selina,422.0,no
19,MUEHLBACHER Julia,308.0,no
20,RUPPRECHT Anna,269.0,no
21,KREUZER Chiara,238.0,no
22,SIEFF Annika,221.0,yes
23,MARUYAMA Nozomi,215.0,no
24,GOERLICH Luisa,213.0,no
25,SETO Yuka,199.0,no
26,KOMAR Katra,190.0,no
27,KYKKAENEN Julia,187.0,no
28,SEYFARTH Juliane,156.0,no
29,INDRACKOVA Karolina,145.0,no
30,TRAASERUD Heidi Dyhre,95.0,yes
31,STROEM Anna Odine,80.0,no
32,MALSINER Lara,79.0,no
33,REISCH Agnes,70.0,no
34,ERZAR Tina,57.0,yes
34,BODLAJ Taja,57.0,yes
36,KOSNJEK Ajda,48.0,no
37,IWASA Haruka,42.0,no
38,MAURER Nicole,40.0,no
39,INDRACKOVA Anezka,31.0,yes
40,HARALAMBIE Daniela,27.0,no
40,BELSHAW Annika,27.0,no
42,GRAESLI Kjersti,24.0,yes
43,MALSINER Jessica,23.0,no
44,MIDTSKOGEN Ingvild Synnoeve,22.0,yes
45,HESSLER Pauline,21.0,no
46,LIU Qi,19.0,no
47,CHERVET Emma,18.0,yes
48,ULRICHOVA Klara,16.0,no
49,JONES Paige,9.0,no
50,TWARDOSZ Anna,8.0,no
50,ICHINOHE Kurumi,8.0,no
52,ARNET Sina,7.0,no
53,MIYAJIMA Ringo,5.0,no
53,PENG Qingyue,5.0,no
55,HOLZ Alvine,4.0,yes
56,JESENKO Jerica,3.0,yes
57,MACUGA Samantha,2.0,yes
58,KUEBLER Pia Lilian,1.0,no
58,AMBROSI Martina,1.0,yes
58,JENCOVA Veronika,1.0,yes
