Rank,Last Name and First Name,Points,Debut
1,SAGEN Anette,1340.0,no
2,GRAESSLER Ulrike,1252.0,no
3,VAN Lindsey-M,1045.0,no
4,IRASCHKO Daniela,998.0,no
5,SEYFAHRT Juliane,801.0,no
6,WILLIS Katie,697.0,no
7,JAHR Line,589.0,no
8,SEIFRIEDSBERGER Jaqueline,484.0,no
9,JOHNSON Alissa,454.0,no
10,YAMADA Izumi,396.0,no
11,WATASE Ayumi,389.0,no
12,DE LEEUW Nata,370.0,no
13,JEROME Jessica,346.0,no
14,DRAGE Tanja,326.0,no
15,HUGHES Abby,325.0,no
16,TEPES Anja,310.0,no
17,TANAKA Atsuko,281.0,no
18,LOGAR Eva,243.0,no
19,DEMETZ Lisa,236.0,no
20,KASAI Yoshiko,220.0,no
21,REXHAEUSER Lisa,208.0,no
22,ELLIS Brenna,190.0,no
23,WINDMUELLER Bigna,184.0,no
24,D AGOSTINA Roberta,179.0,no
25,ARDOVINO Avery,175.0,no
26,ITOH Yuuki,169.0,yes
26,VOGT Carina,169.0,yes
28,RUNGGALDIER Elena,166.0,no
29,PUSTKOVA Vladena,161.0,no
30,KANAI Rieko,154.0,no
31,HAEFELE Anna,145.0,no
32,FAISST Melanie,144.0,no
33,FUCHS Salome,133.0,yes
34,WINDMUELLER Sabrina,94.0,yes
35,SHIGENO Misaki,82.0,no
36,HIRAYAMA Yurika,80.0,no
36,KOASA Seiko,80.0,no
38,POZUN Katja,69.0,no
39,INSAM Evelyn,59.0,yes
40,TAKEDA Ayuka,57.0,no
41,LYNCH Zoya,56.0,no
42,KABE Erina,45.0,no
43,POGLADIC Monika,43.0,no
44,ENGER Gyda,41.0,no
45,POCK Verena,38.0,no
46,VTIC Maja,36.0,no
47,SCHUEPBACH Malika,30.0,yes
48,MOHR Jenna,26.0,no
49,KECK Karla,19.0,no
50,DEVOS Jaklyn,16.0,yes
50,KITAMURA Saki,16.0,yes
52,FRIBERG Karin,14.0,yes
53,MOTOYAMA Yuka,13.0,no
54,YAMAGUCHI Mizuki,12.0,yes
55,ANDERSSON Elisabeth,11.0,no
55,SATO Sakura,11.0,yes
57,STEINDL Esther,10.0,yes
57,STRAUB Ramona,10.0,yes
59,RHOADS Brittany-L,9.0,no
60,SCHNURR Magdalena,7.0,no
61,HAUER Nicole,6.0,no
61,WOERTH Svenja,6.0,yes
