Rank,Last Name and First Name,Points,Debut
1,GRANERUD Halvor Egner,1572.0,no
2,EISENBICHLER Markus,1190.0,no
3,STOCH Kamil,955.0,no
4,KOBAYASHI Ryoyu,919.0,no
5,JOHANSSON Robert,884.0,no
6,GEIGER Karl,826.0,no
7,ZYLA Piotr,825.0,no
8,KUBACKI Dawid,786.0,no
9,LANISEK Anze,775.0,no
10,LINDVIK Marius,612.0,no
11,SATO Yukiya,581.0,no
12,HUBER Daniel,561.0,no
13,PAVLOVCIC Bor,559.0,no
14,TANDE Daniel Andre,543.0,no
15,PASCHKE Pius,514.0,no
16,STEKALA Andrzej,473.0,no
17,KRAFT Stefan,429.0,no
18,HAYBOECK Michael,347.0,no
19,FORFANG Johann Andre,338.0,no
20,SATO Keiichi,291.0,no
21,ASCHENWALD Philipp,265.0,no
22,PREVC Domen,241.0,no
23,PREVC Peter,230.0,no
24,HAMANN Martin,216.0,no
25,JELAR Ziga,207.0,no
26,DESCHWANDEN Gregor,206.0,no
27,WOLNY Jakub,195.0,no
28,NAZAROV Mikhail,176.0,no
29,FREUND Severin,160.0,no
30,SCHMID Constantin,151.0,no
31,MURANKA Klemens,141.0,no
32,BOYD-CLOWES Mackenzie,115.0,no
33,KOBAYASHI Junshiro,113.0,no
34,NAKAMURA Naoki,111.0,no
35,KLIMOV Evgeniy,110.0,no
36,LACKNER Thomas,93.0,yes
37,AALTO Antti,90.0,no
38,PREVC Cene,83.0,no
39,HOERL Jan,82.0,no
40,ZNISZCZOL Aleksander,81.0,no
41,AMMANN Simon,77.0,no
42,SCHIFFNER Markus,76.0,no
43,ERIKSEN Sander Vossan,63.0,yes
43,AIGRO Artti,63.0,no
45,WASEK Pawel,62.0,no
46,ZAJC Timi,60.0,no
47,BARTOL Tilen,58.0,no
48,HAARE Anders,52.0,no
49,FETTNER Manuel,50.0,no
50,KYTOSAHO Niko,47.0,no
51,TSCHOFENIG Daniel,30.0,yes
51,SEMENIC Anze,30.0,no
53,LEITNER Clemens,27.0,no
54,PETER Dominik,25.0,no
55,ITO Daiki,21.0,no
56,ZOGRAFSKI Vladimir,19.0,no
56,TROFIMOV Roman Sergeevich,19.0,no
58,KOT Maciej,17.0,no
58,WOHLGENANNT Ulrich,17.0,no
60,MARKENG Thomas Aasen,15.0,no
60,STEINER Maximilian,15.0,yes
62,KOS Lovro,14.0,yes
63,HAAGEN David,13.0,yes
64,KAHOFER Timon-Pascal,9.0,yes
65,BRESADOLA Giovanni,8.0,yes
65,SCHLIERENZAUER Gregor,8.0,no
67,SADREEV Danil,6.0,yes
68,KORNILOV Denis,5.0,no
69,POLASEK Viktor,4.0,no
69,FREITAG Richard,4.0,no
71,MAATTA Jarkko,3.0,no
71,LARSON Casey,3.0,yes
71,PRESECNIK Jernej,3.0,yes
74,KOZISEK Cestmir,2.0,no
74,HULA Stefan,2.0,no
76,SOUKUP Matthew,1.0,yes
76,PILCH Tomasz,1.0,no
76,INSAM Alex,1.0,no
