Rank,Last Name and First Name,Points,Debut
1,KOBAYASHI Ryoyu,2085.0,no
2,KRAFT Stefan,1349.0,no
3,STOCH Kamil,1288.0,no
4,ZYLA Piotr,1131.0,no
5,KUBACKI Dawid,988.0,no
6,JOHANSSON Robert,974.0,no
7,EISENBICHLER Markus,937.0,no
8,FORFANG Johann Andre,892.0,no
9,ZAJC Timi,833.0,no
10,GEIGER Karl,765.0,no
11,LEYHE Stephan,636.0,no
12,KLIMOV Evgeniy,592.0,no
13,PREVC Domen,542.0,no
14,KOUDELKA Roman,523.0,no
15,GRANERUD Halvor Egner,422.0,no
16,HUBER Daniel,413.0,no
17,PEIER Killian,399.0,no
18,WELLINGER Andreas,371.0,no
19,KOBAYASHI Junshiro,335.0,no
19,STJERNEN Andreas,335.0,no
21,FREITAG Richard,331.0,no
22,WOLNY Jakub,328.0,no
23,SATO Yukiya,316.0,no
24,AMMANN Simon,313.0,no
25,AALTO Antti,288.0,no
26,ASCHENWALD Philipp,247.0,no
27,HAYBOECK Michael,228.0,no
28,SEMENIC Anze,203.0,no
29,PREVC Peter,179.0,no
30,LANISEK Anze,177.0,no
31,FETTNER Manuel,166.0,no
32,ITO Daiki,145.0,no
33,ZOGRAFSKI Vladimir,134.0,no
34,SIEGEL David,131.0,no
35,TANDE Daniel Andre,106.0,no
36,FANNEMEL Anders,103.0,no
37,KASAI Noriaki,88.0,no
38,SCHMID Constantin,86.0,no
39,NAKAMURA Naoki,72.0,no
40,HULA Stefan,69.0,no
41,PEDERSEN Robin,58.0,yes
42,POLASEK Viktor,54.0,no
43,HOERL Jan,53.0,yes
44,LINDVIK Marius,49.0,no
45,AIGNER Clemens,46.0,no
46,DAMJAN Jernej,40.0,no
47,KOT Maciej,25.0,no
48,SCHLIERENZAUER Gregor,23.0,no
49,HAMANN Martin,19.0,yes
49,VASSILIEV Dmitry,19.0,yes
51,BICKNER Kevin,18.0,no
51,BOYD-CLOWES Mackenzie,18.0,no
51,MOGEL Zak,18.0,yes
54,HLAVA Lukas,17.0,no
54,JELAR Ziga,17.0,no
56,SATO Keiichi,13.0,yes
57,AIGRO Artti,12.0,yes
57,FREUND Severin,12.0,no
59,PASCHKE Pius,10.0,no
59,TEPES Jurij,10.0,no
61,BARTOL Tilen,9.0,no
61,KOZISEK Cestmir,9.0,no
61,TAKEUCHI Taku,9.0,no
64,PAVLOVCIC Bor,8.0,no
65,INSAM Alex,7.0,no
66,TROFIMOV Roman Sergeevich,5.0,yes
67,DESCHWANDEN Gregor,4.0,no
67,MARKENG Thomas Aasen,4.0,yes
67,NOUSIAINEN Eetu,4.0,no
67,WASEK Pawel,4.0,yes
71,VANCURA Tomas,3.0,no
71,WOHLGENANNT Ulrich,3.0,no
73,ALAMOMMO Andreas,2.0,yes
73,BAER Moritz,2.0,yes
73,MAATTA Jarkko,2.0,yes
73,SCHIFFNER Markus,2.0,no
77,NAZAROV Mikhail,1.0,yes
77,SCHULER Andreas,1.0,no
