Rank,Last Name and First Name,Points,Debut
1,IRASCHKO-STOLZ Daniela,1007.0,no
2,TAKANASHI Sara,973.0,no
3,VOGT Carina,672.0,no
4,ROGELJ Spela,581.0,no
5,ITO Yuki,434.0,no
6,VTIC Maja,418.0,no
7,PINKELNIG Eva,408.0,yes
8,HENDRICKSON Sarah,399.0,no
9,SEIFRIEDSBERGER Jacqueline,370.0,no
10,ENGLUND Nita,332.0,no
11,AVVAKUMOVA Irina,315.0,no
12,JAHR Line,306.0,no
13,ALTHAUS Katharina,299.0,no
14,LUNDBY Maren,289.0,no
15,HENRICH Taylor,230.0,no
16,SEYFARTH Juliane,222.0,no
17,HOELZL Chiara,185.0,no
18,JEROME Jessica,168.0,no
19,TIKHONOVA Sofya,154.0,no
20,CLAIR Julia,151.0,no
21,LOGAR Eva,142.0,no
22,MATTEL Coline,128.0,no
23,GRAESSLER Ulrike,124.0,no
24,KYKKAENEN Julia,121.0,no
25,POZUN Katja,105.0,no
26,IWABUCHI Kaori,101.0,no
27,SETO Yuka,100.0,yes
28,BOGATAJ Ursa,91.0,no
29,LEMARE Lea,89.0,no
30,GERAGHTY-MOATS Tara,73.0,no
31,ERNST Gianina,69.0,no
32,ENGER Gyda,42.0,no
32,HAEFELE Anna,42.0,no
34,HUGHES Abby,41.0,no
35,WUERTH Svenja,39.0,no
36,INSAM Evelyn,29.0,no
37,RUNGGALDIER Elena,23.0,no
38,SAGEN Anette,22.0,no
39,KUSTOVA Alexandra,17.0,no
40,YAMADA Yurina,16.0,no
41,HESSLER Pauline,11.0,yes
42,KOBAYASHI Yuka,9.0,no
43,GLADYSHEVA Anastasiya,4.0,no
43,SHIGENO Misaki,4.0,no
43,WINDMUELLER Sabrina,4.0,no
46,DOLEZELOVA Michaela,2.0,no
46,KRAUS Henriette,2.0,yes
48,RUPPRECHT Anna,1.0,no
48,WATASE Ayumi,1.0,no
