Rank,Last Name and First Name,Points,Debut
1,STOCH Kamil,1420.0,no
2,PREVC Peter,1312.0,no
3,FREUND Severin,1303.0,no
4,BARDAL Anders,1071.0,no
5,KASAI Noriaki,1062.0,no
6,SCHLIERENZAUER Gregor,943.0,no
7,AMMANN Simon,733.0,no
8,DIETHART Thomas,666.0,no
9,WELLINGER Andreas,601.0,no
10,KRAFT Stefan,539.0,no
11,KRANJEC Robert,493.0,no
12,KOFLER Andreas,468.0,no
13,DAMJAN Jernej,457.0,no
14,HAYBOECK Michael,439.0,no
15,MORGENSTERN Thomas,438.0,no
16,KRAUS Marinus,407.0,no
17,KOT Maciej,398.0,no
18,TEPES Jurij,360.0,no
19,KOIVURANTA Anssi,350.0,no
20,ZYLA Piotr,343.0,no
21,ITO Daiki,335.0,no
22,TAKEUCHI Taku,333.0,no
23,FANNEMEL Anders,328.0,no
24,FREITAG Richard,313.0,no
25,ZIOBRO Jan,312.0,no
26,MATURA Jan,311.0,no
27,NEUMAYER Michael,281.0,no
28,JANDA Jakub,242.0,no
29,LOITZL Wolfgang,226.0,no
30,VELTA Rune,201.0,no
31,AHONEN Janne,176.0,no
32,DESCHWANDEN Gregor,173.0,no
32,SHIMIZU Reruhi,173.0,no
34,WANK Andreas,171.0,no
35,BIEGUN Krzysztof,144.0,no
36,NAGLIC Tomaz,140.0,no
37,DEZMAN Nejc,137.0,no
38,MURANKA Klemens,132.0,no
39,KOUDELKA Roman,123.0,no
40,VASSILIEV Dimitry,115.0,no
41,HAJEK Antonin,108.0,no
42,GEIGER Karl,106.0,no
43,STJERNEN Andreas,103.0,no
44,EISENBICHLER Markus,99.0,no
44,POPPINGER Manuel,99.0,yes
46,FETTNER Manuel,98.0,no
47,INGVALDSEN Ole Marius,96.0,no
48,HILDE Tom,92.0,no
49,KUBACKI Dawid,87.0,no
50,HVALA Jaka,84.0,no
51,JACOBSEN Anders,82.0,no
52,WATASE Yuta,78.0,no
53,ASIKAINEN Lauri,77.0,no
54,MAKSIMOCHKIN Mikhail,65.0,yes
55,BOYD-CLOWES Mackenzie,62.0,no
56,MAEAETTAE Jarkko,61.0,no
57,HLAVA Lukas,53.0,no
57,KORNILOV Denis,53.0,no
59,NURMSALU Kaarel,52.0,no
60,LAMY CHAPPUIS Ronan,44.0,yes
61,JOHANSSON Robert,43.0,yes
62,BRESADOLA Davide,36.0,no
63,MUOTKA Olli,31.0,no
64,TANDE Daniel-Andre,30.0,yes
65,LARINTO Ville,27.0,no
66,QUECK Danny,25.0,no
67,DELLASEGA Roberto,24.0,no
68,DESCOMBES SEVOIE Vincent,21.0,no
68,ROMASHOV Alexey,21.0,no
70,HRGOTA Robert,19.0,no
70,PREVC Cene,19.0,yes
72,KOCH Martin,16.0,no
72,PUNGERTAR Matjaz,16.0,no
74,JUSTIN Rok,15.0,yes
74,ROMOEREN Bjoern Einar,15.0,no
76,HAPPONEN Janne,11.0,no
77,HEISKANEN Sami,7.0,yes
78,SCHMITT Martin,4.0,no
79,FAIRALL Nicholas,3.0,no
79,HULA Stefan,3.0,no
79,TOCHIMOTO Shohei,3.0,no
82,GRIMSRUD Simen Key,1.0,no
82,KAELIN Pascal,1.0,yes
82,MIETUS Krzysztof,1.0,no
82,TAKAHASHI Daito,1.0,yes
