Rank,Last Name and First Name,Points,Debut
1,KRAFT Stefan,2149.0,no
2,KOBAYASHI Ryoyu,1673.0,no
3,WELLINGER Andreas,1488.0,no
4,HOERL Jan,1140.0,no
5,PREVC Peter,1071.0,no
6,HAYBOECK Michael,882.0,no
7,FORFANG Johann Andre,867.0,no
8,LINDVIK Marius,854.0,no
9,KOS Lovro,792.0,no
10,PASCHKE Pius,778.0,no
11,TSCHOFENIG Daniel,747.0,no
12,FETTNER Manuel,703.0,no
13,PREVC Domen,663.0,no
14,LANISEK Anze,661.0,no
15,HUBER Daniel,647.0,no
16,ZAJC Timi,640.0,no
17,GEIGER Karl,623.0,no
18,DESCHWANDEN Gregor,552.0,no
19,ZNISZCZOL Aleksander,524.0,no
20,RAIMUND Philipp,461.0,no
21,SUNDAL Kristoffer Eriksen,458.0,no
22,NIKAIDO Ren,449.0,no
23,LEYHE Stephan,425.0,no
24,GRANERUD Halvor Egner,409.0,no
25,ZYLA Piotr,292.0,no
26,STOCH Kamil,256.0,no
27,INSAM Alex,215.0,no
28,KUBACKI Dawid,213.0,no
29,JOHANSSON Robert,195.0,no
30,KYTOSAHO Niko,189.0,no
31,BRESADOLA Giovanni,175.0,no
32,AIGNER Clemens,165.0,no
33,KOUDELKA Roman,163.0,no
34,KOBAYASHI Junshiro,143.0,no
35,BELSHAW Erik,137.0,no
36,OESTVOLD Benjamin,131.0,no
37,ZOGRAFSKI Vladimir,93.0,no
38,TANDE Daniel Andre,90.0,no
39,EMBACHER Stephan,86.0,yes
40,AALTO Antti,85.0,no
41,PEIER Killian,79.0,no
42,FRANTZ Tate,71.0,yes
43,AIGRO Artti,66.0,no
44,HAMANN Martin,59.0,no
45,MARUSIAK Yevhen,57.0,no
46,HOFFMANN Felix,49.0,no
47,JOERGENSEN Sindre Ulven,42.0,yes
47,WASEK Pawel,42.0,no
49,SCHMID Constantin,39.0,no
50,IMHOF Remo,30.0,no
51,MOGEL Zak,28.0,no
52,AMMANN Simon,27.0,no
53,PEDERSEN Robin,24.0,no
53,NOUSIAINEN Eetu,24.0,no
55,KOT Maciej,21.0,no
56,NAKAMURA Naoki,15.0,no
57,VALTO Kasperi,12.0,yes
58,BARTOLJ Maksim,10.0,no
58,VILLUMSTAD Fredrik,10.0,no
58,KASAI Noriaki,10.0,no
61,FOUBERT Valentin,8.0,yes
62,JELAR Ziga,7.0,no
63,URLAUB Andrew,4.0,no
64,IPCIOGLU Fatih Arda,3.0,no
64,SATO Keiichi,3.0,no
64,CAMPREGHER Andrea,3.0,yes
67,TAKEUCHI Taku,2.0,no
