Rank,Last Name and First Name,Points,Debut
1,SCHLIERENZAUER Gregor,2083.0,no
2,AMMANN Simon,1776.0,no
3,LOITZL Wolfgang,1396.0,no
4,OLLI Harri,974.0,no
5,VASSILIEV Dimitry,845.0,no
6,SCHMITT Martin,829.0,no
7,MORGENSTERN Thomas,795.0,no
8,JACOBSEN Anders,661.0,no
9,KOCH Martin,601.0,no
10,BARDAL Anders,598.0,no
11,KUETTEL Andreas,561.0,no
12,HAUTAMAEKI Matti,558.0,no
13,MALYSZ Adam,549.0,no
14,LARINTO Ville,541.0,no
15,KASAI Noriaki,409.0,no
16,KOUDELKA Roman,403.0,no
17,CHEDAL Emmanuel,395.0,no
18,UHRMANN Michael,354.0,no
19,NEUMAYER Michael,353.0,no
20,EVENSEN Johan Remen,334.0,yes
21,KEITURI Kalle,293.0,no
22,JANDA Jakub,279.0,no
23,KRANJEC Robert,276.0,no
24,HILDE Tom,269.0,no
25,LJOEKELSOEY Roar,259.0,no
26,YUMOTO Fumihisa,237.0,no
27,EGGENHOFER Markus,232.0,yes
28,OKABE Takanobu,227.0,no
29,ITO Daiki,193.0,no
30,KORNILOV Denis,146.0,no
30,STOCH Kamil,146.0,no
32,HOCKE Stephan,145.0,no
33,WATASE Yuta,142.0,no
34,ROMOEREN Bjoern Einar,113.0,no
35,TOCHIMOTO Shohei,107.0,yes
36,KOFLER Andreas,102.0,no
37,DAMJAN Jernej,99.0,no
38,ROSLIAKOV Ilja,98.0,no
39,DESCOMBES SEVOIE Vincent,75.0,no
40,SKLETT Vegard,68.0,yes
41,COLLOREDO Sebastian,60.0,no
42,KARELIN Pavel,56.0,no
42,TAKEUCHI Taku,56.0,no
44,HULA Stefan,51.0,no
45,SCHOFT Felix,50.0,yes
46,PETTERSEN Sigurd,42.0,no
47,PETERKA Primoz,40.0,no
48,FREUND Severin,36.0,no
49,SLIZ Rafal,33.0,no
50,ELVERUM SORSELL Kim Rene,29.0,yes
50,RUTKOWSKI Lukasz,29.0,yes
52,HRGOTA Robert,26.0,yes
53,KOVALJEFF Kai,25.0,yes
54,PIKL Primoz,24.0,no
55,BODMER Pascal,23.0,no
55,CIKL Martin,23.0,no
57,MEZNAR Mitja,20.0,yes
58,HLAVA Lukas,19.0,no
59,WANK Andreas,18.0,no
60,FAIRALL Nicholas,15.0,yes
60,SINKOVEC Jure,15.0,no
62,VACULIK Ondrej,14.0,no
63,FUNAKI Kazuyoshi,12.0,no
64,ERIKSON Johan,11.0,no
64,KIURU Tami,11.0,no
66,DAMJAN Anze,10.0,yes
66,FETTNER Manuel,10.0,no
66,KARPENKO Nikolay,10.0,no
66,MATURA Jan,10.0,no
66,SAKANO Yukio,10.0,no
71,HAUTAMAEKI Jussi,9.0,no
71,MIETUS Krzysztof,9.0,yes
71,MUSIOL Julian,9.0,no
71,URBANC Rok,9.0,no
75,MECHLER Maximilian,8.0,no
76,BOSHCHUK Volodymyr,7.0,yes
76,MUELLER Lukas,7.0,yes
76,ULMER Christian,7.0,no
79,SHUMBARETS Vitaliy,6.0,yes
80,LACKNER Daniel,5.0,no
81,ZYLA Piotr,4.0,no
82,BACHLEDA Marcin,3.0,no
82,LAZAROVYCH Oleksandr,3.0,yes
82,LINDSTROEM Veli-Matti,3.0,no
82,NIEMI Sami,3.0,no
82,RUUSKANEN Juha-Matti,3.0,no
87,AARAAS Jon,2.0,no
87,JOHNSON Anders,2.0,yes
87,SIMON Erik,2.0,yes
90,AREN Andreas,1.0,no
90,MAYER Nicolas,1.0,yes
90,YAMADA Hiroki,1.0,no
