Rank,Last Name and First Name,Points,Debut
1,PETERKA Primoz,1253.0,no
2,FUNAKI Kazuyoshi,1234.0,no
3,WIDHOELZL Andreas,1208.0,no
4,HARADA Masahiko,1120.0,no
5,SAITOH Hiroya,962.0,no
6,HANNAWALD Sven,953.0,no
7,SOININEN Jani,950.0,no
8,THOMA Dieter,921.0,no
9,AHONEN Janne,836.0,no
10,KASAI Noriaki,720.0,no
11,HOELLWARTH Martin,568.0,no
12,BRENDEN Kristian,549.0,no
13,HORNGACHER Stefan,546.0,no
14,JAEKLE Hansjoerg,528.0,no
15,STENSRUD Henning,398.0,no
16,OKABE Takanobu,385.0,no
17,GOLDBERGER Andreas,327.0,no
18,OTTESEN Lasse,288.0,no
19,SAVOLAINEN Kimmo,262.0,no
20,REUTELER Bruno,255.0,no
21,SAKALA Jaroslav,245.0,no
21,SCHWARZENBERGER Reinhard,245.0,no
23,HIGASHI Akira,240.0,no
24,YOSHIOKA Kazuya,238.0,no
25,FREIHOLZ Sylvain,232.0,no
26,LAITINEN Mika Antero,231.0,no
27,SCHMITT Martin,218.0,no
28,SANDAKER Jon Petter,217.0,yes
29,NIKKOLA Ari-Pekka,213.0,no
30,CECON Roberto,199.0,no
31,LOITZL Wolfgang,194.0,yes
32,LJOEKELSOEY Roar,191.0,no
33,WAGNER Michael,176.0,yes
34,MATEJA Robert,165.0,no
35,HORNSCHUH Ronny,159.0,no
36,MIYAHIRA Hideharu,135.0,no
37,DESSUM Nicolas,130.0,no
38,DUFFNER Christof,110.0,no
39,HAUTAMAEKI Matti,104.0,yes
40,HOLSETER Sturle,78.0,no
40,SUDA Kenji,78.0,no
42,HAUTAMAEKI Jussi,76.0,no
43,BREDESEN Espen,65.0,no
44,DOLEZAL Michal,64.0,no
45,NOROTA Yoshikazu,60.0,no
46,JEZ Frantisek,56.0,no
46,SIEGMUND Gerd,56.0,no
48,INGEBRIGTSEN Tommy,54.0,no
49,JIROUTEK Jakub,51.0,no
50,KOBELEV Valery,50.0,yes
50,KVARSTAD Stian,50.0,no
52,VRHOVNIK Blaz,47.0,no
53,GAY Jerome,45.0,no
54,HAERE Frode,44.0,no
54,KANTEE Ville,44.0,no
54,WALLNER Matthias,44.0,no
57,MALYSZ Adam,43.0,no
58,ZIMMERMANN Martin,41.0,yes
59,FRANC Urban,39.0,no
60,AAGHEIM Morten,33.0,yes
60,KRENEK Robert,33.0,no
62,SUCHACEK Jakub,29.0,no
63,ZONTA Peter,28.0,no
64,HERR Alexander,27.0,no
65,AUDENRIETH Roland,26.0,yes
65,RIHTAR Miha,26.0,yes
67,NIEMINEN Toni,25.0,no
68,SKUPIEN Wojciech,23.0,no
68,ZIVIC Milan,23.0,yes
70,AMMANN Simon,22.0,yes
70,JANDA Jakub,22.0,no
70,NISHISHITA Kazuki,22.0,yes
73,TAKAHASHI Ryuji,20.0,yes
74,WAKOLM Roland,15.0,yes
75,COLBY Casey,13.0,yes
76,LIE Haavard,10.0,no
76,SAGBAKKEN Kjell Erik,10.0,yes
78,NAKAMURA Kazuhiro,9.0,no
78,ROSKO Vladimir,9.0,yes
80,KRISMAYR Falko,8.0,yes
81,MESIK Martin,7.0,no
82,CHOI Heung-Chul,6.0,yes
82,HAKOLA Lauri,6.0,yes
82,KYTOESAHO Pasi,6.0,no
85,FORSMAN Juho,5.0,yes
85,FRAS Damjan,5.0,yes
85,RADELJ Jure,5.0,no
88,KURY Michael,4.0,no
88,LYSKOVEC Andrej,4.0,yes
90,CHEVALIER-GIROD Lucas,3.0,no
90,DLUGOPOLSKI Kristian,3.0,yes
90,WEBER Randy,3.0,no
93,GEBSTEDT Ralf,2.0,no
93,LANG Grega,2.0,yes
93,SCHIBKO Alexej,2.0,yes
93,STEINAUER Marco,2.0,no
93,ZELENCIK Jan,2.0,yes
98,SATO Masayuki,1.0,no
