Season,Rank,Last Name and First Name,Points
1981_1982,59,NISHIKATA Chiharu,3
1981_1982,63,NAKARI Harry,2
1981_1982,63,REIJONEN M.,2
1981_1982,63,STANNARIUS Stefan,2
1981_1982,66,STEIERT Wolfgang,1
1981_1982,66,VACEK Bohumil,1
1982_1983,6,BRAATEN Steinar,126
1982_1983,15,HOLLAND Mike,83
1982_1983,16,WEISSFLOG Jens,80
1982_1983,23,FINDEISEN Ulf,43
1982_1983,24,FREITAG Holger,32
1982_1983,27,PARMA Jiri,30
1982_1983,37,YLIPULLI Tuomo,21
1982_1983,42,FIDJESTOEL Ole Gunnar,15
1982_1983,49,BERG Rolf Age,8
1982_1983,50,HIRNER Rupert,7
1982_1983,53,EIDHAMMER Ole-Christian,6
1982_1983,55,KONOPACKE Mark,5
1982_1983,55,OSERNIK Sergej,5
1982_1983,57,MCGRANE Dennis,4
1982_1983,57,PROKOPENKO Gennadi,4
1982_1983,57,STOLZLECHNER Nils,4
1982_1983,60,KALSO Jukka,3
1982_1983,63,SVAGERKO Martin,1
1983_1984,14,PODZIMEK Vladimir,76
1983_1984,20,AHONEN Veli-Matti,43
1983_1984,21,DLUHOS Ladislav,42
1983_1984,36,ESSER Fritz,23
1983_1984,38,STJERNEN Johan,20
1983_1984,41,WIEGELE Franz,19
1983_1984,42,MALIK Janusz,18
1983_1984,48,PIAZZINI Fabrice,14
1983_1984,52,ERAT Paul,10
1983_1984,52,HAUSWIRTH Christian,10
1983_1984,52,JOHANSEN Vidar,10
1983_1984,59,LANDIS Arnold,8
1983_1984,61,BENUM Boerge,6
1983_1984,61,PALMER Zane,6
1983_1984,65,DOLAR Thomas,5
1983_1984,67,BROWN David,4
1983_1984,69,BREITSCHEV Vladimir,3
1983_1984,75,TAKAHASHI Masahiko,2
1983_1984,77,GOLOVTSCHIKOV Juri,1
1983_1984,77,HASSELBERGER Thomas,1
1983_1984,77,RESCH Raimund,1
1983_1984,77,WATASE Yataro,1
1984_1985,13,STJERNEN Hroar,71
1984_1985,17,PERSSON Halvor,47
1984_1985,26,POLAK Miroslav,29
1984_1985,32,NEULAENDTNER Franz,21
1984_1985,37,BALANCHE Gérard,18
1984_1985,40,FIJAS Tadeusz,15
1984_1985,40,PEDERSEN Trond J.,15
1984_1985,46,PUSTKA Frantisek,10
1984_1985,49,KYLMAEAHO Kimmo,8
1984_1985,51,ZAGAR Matjas,7
1984_1985,53,HASTINGS Chris,6
1984_1985,53,MEWBORN Rick,6
1984_1985,53,SAUERBREY Frank,6
1984_1985,57,MALEC Jiri,5
1984_1985,57,SHIMA Hiro,5
1984_1985,64,FISCHER Laszlo,4
1984_1985,66,BERGER Frédéric,3
1984_1985,66,WEGSCHEIDER Lorenz,3
1984_1985,70,CAHLIK Milan,2
1984_1985,70,KOJONKOSKI Mika,2
1984_1985,70,REYMOND Pascal,2
1985_1986,5,SUORSA Pekka,148
1985_1986,25,LACEDELLI Antonio,26
1985_1986,26,NIEMINEN Anssi,25
1985_1986,29,MOLLARD Didier,23
1985_1986,33,KARETNIKOV Valerji,19
1985_1986,36,LESSER Ingo,17
1985_1986,46,STRANNER Günther,12
1985_1986,47,DEBELAK Matjaz,11
1985_1986,47,NIKKOLA Ari-Pekka,11
1985_1986,50,LAAKONEN Risto,8
1985_1986,57,TAELLBERG Per-Inge,6
1985_1986,58,THOMA Dieter,5
1985_1986,59,KOWAL Jan,4
1985_1986,59,SAMBUGARO Sandro,4
1985_1986,65,KJOERUM Jon-Inge,3
1985_1986,68,YLIPULLI Heikki,2
1985_1986,70,VERVEIKIN Andzey,1
1986_1987,21,STROHMAIER Oliver,32
1986_1987,23,ZUPAN Matjaz,31
1986_1987,25,SATO Akira,29
1986_1987,37,FJORDEN Stale,17
1986_1987,37,NAGAOKA Masaru,17
1986_1987,44,SASAKI Takayuki,13
1986_1987,45,BOKLOEV Jan,12
1986_1987,49,DEBELAK Janez,9
1986_1987,49,NOKELAINEN Kai,9
1986_1987,54,LEDERER Remo,8
1986_1987,57,RODLAUER Harald,7
1986_1987,60,ITO Naoto,6
1986_1987,60,LITSCHKO Raimund,6
1986_1987,63,BRAATEN Clas Brede,5
1986_1987,63,HEUMANN Josef,5
1986_1987,63,NISHIKATA Jinya,5
1986_1987,63,STIRN Janez,5
1986_1987,70,JESSIN Mikhail,4
1986_1987,70,KINDLIMANN Thomas,4
1986_1987,70,MUELLER Christoph,4
1986_1987,78,JOHANSEN Jouni,2
1986_1987,78,SCHILLI Rolf,2
1986_1987,78,SOLA Bernat,2
1986_1987,85,HARADA Masahiko,1
1986_1987,85,HASJIMOTO Terumi,1
1986_1987,85,JOHNSEN Erik,1
1986_1987,85,LUNARDI Virginio,1
1986_1987,85,TARANOV Aleksandr,1
1987_1988,12,TAELLBERG Staffan,60
1987_1988,25,KUTTIN Heinz,32
1987_1988,26,SCHUSTER Werner,30
1987_1988,44,AASTROEM Magnus,15
1987_1988,44,GILLMANN Todd,15
1987_1988,48,LEHMANN Christoph,12
1987_1988,50,HAIM Werner,11
1987_1988,52,CECON Roberto,10
1987_1988,52,KOPAC Robert,10
1987_1988,54,MARTINSSON Mikael,9
1987_1988,55,HUNGER Heiko,8
1987_1988,64,KATSUSHI T.,5
1987_1988,64,MAKALA V.,5
1987_1988,74,KLIMOWSKI Zbigniew,1
1987_1988,74,OKRAFFKA Udo,1
1988_1989,21,JOHANSSEN Kent,41
1988_1989,29,ZUECHNER Ingo,29
1988_1989,34,JOHANSEN Magne,21
1988_1989,37,RAUSCHMEIER Andi,19
1988_1989,45,ESIN Michail,9
1988_1989,52,HIGASHI Akira,7
1988_1989,52,SAKALA Jaroslav,7
1988_1989,57,KUSTOV Pavel,6
1988_1989,61,DANEK Miroslav,4
1988_1989,64,MANABU Nikaidoh,2
1989_1990,5,JEZ Frantisek,202
1989_1990,21,PETEK Franci,46
1989_1990,21,ZUEND Stephan,46
1989_1990,24,KASAI Noriaki,43
1989_1990,30,OLIJNYK Rune,31
1989_1990,39,PERTILE Ivo,16
1989_1990,43,POINTNER Alexander,8
1989_1990,48,KUMMERLOEW René,6
1989_1990,48,SOTIROV Zacharij,6
1989_1990,52,HAKALA Vaesa,3
1989_1990,52,LEONHARD Robert,3
1989_1990,56,GEBSTEDT Ralf,2
1989_1990,56,HEIKKELAE Jarkko,2
1989_1990,56,HUBER Klaus,2
1989_1990,60,NIKAIDO Manabu,1
1989_1990,60,NORMAN Ake,1
1989_1990,60,VODNEV Dionis,1
1990_1991,4,HORNGACHER Stefan,179
1990_1991,10,KIESEWETTER Andre,134
1990_1991,15,YLIPULLI Raimo,67
1990_1991,17,DUFFNER Christof,53
1990_1991,23,BERG Oyvind,46
1990_1991,27,FREIHOLZ Sylvain,31
1990_1991,34,BREDESEN Espen,17
1990_1991,34,HIGASHI Kazuhiro,17
1990_1991,34,TAKEUCHI Takuya,17
1990_1991,37,GOLDBERGER Andreas,16
1990_1991,42,JANUS Goran,12
1990_1991,50,OTTESEN Lasse,2
1991_1992,1,NIEMINEN Toni,269
1991_1992,2,RATHMAYR Werner,229
1991_1992,10,HOELLWARTH Martin,112
1991_1992,17,LUNARDI Ivan,54
1991_1992,18,GOSTISA Samo,52
1991_1992,20,HOLLAND Jim,48
1991_1992,21,GODER Tomas,46
1991_1992,23,TRUNZ Martin,36
1991_1992,35,DELAUP Steve,19
1991_1992,40,SUDA Kenji,13
1991_1992,41,NOELKE Marc,10
1991_1992,47,SCHERER Andreas,6
1991_1992,48,JEAN-PROST Nicolas,4
1991_1992,48,LAITINEN Mika Antero,4
1991_1992,54,TAKEUCHI Motoyasu,2
1992_1993,10,MYRBAKKEN Bjoern,63
1992_1993,22,FRANC Urban,33
1992_1993,24,OKABE Takanobu,29
1992_1993,30,YASUZAKI Naoki,21
1992_1993,31,REINTHALER Christian,20
1992_1993,32,ASHIMOTO Yuhji,19
1992_1993,35,BRENDRYEN Helge,14
1992_1993,35,MOSER Christian,14
1992_1993,38,GAY Jerome,12
1992_1993,39,SOININEN Jani,11
1992_1993,45,KLADNIK Matjaz,8
1992_1993,46,KOMOVEC Saso,7
