Season,Rank,Last Name and First Name,Points
2008_2009,27,EGGENHOFER Markus,232
2008_2009,35,TOCHIMOTO Shohei,107
2008_2009,40,SKLETT Vegard,68
2008_2009,45,SCHOFT Felix,50
2008_2009,50,ELVERUM SORSELL Kim Rene,29
2008_2009,50,RUTKOWSKI Lukasz,29
2008_2009,52,HRGOTA Robert,26
2008_2009,53,KOVALJEFF Kai,25
2008_2009,57,MEZNAR Mitja,20
2008_2009,60,FAIRALL Nicholas,15
2008_2009,66,DAMJAN Anze,10
2008_2009,71,MIETUS Krzysztof,9
2008_2009,76,BOSHCHUK Volodymyr,7
2008_2009,76,MUELLER Lukas,7
2008_2009,79,SHUMBARETS Vitaliy,6
2008_2009,82,LAZAROVYCH Oleksandr,3
2008_2009,87,JOHNSON Anders,2
2008_2009,87,SIMON Erik,2
2008_2009,90,MAYER Nicolas,1
2009_2010,13,ZAUNER David,403
2009_2010,35,PREVC Peter,106
2009_2010,49,HAYBOECK Michael,54
2009_2010,55,MUOTKA Olli,41
2009_2010,56,STJERNEN Andreas,36
2009_2010,60,FANNEMEL Anders,26
2009_2010,63,MIETUS Grzegorz,20
2009_2010,69,SKLETT Vegard-Haukoe,11
2009_2010,71,SAKUYAMA Kento,10
2009_2010,77,SCHABEREITER Florian,5
2009_2010,82,DELLASEGA Roberto,2
2009_2010,82,KOROLEV Alex,2
2009_2010,82,ROENSEN Atle Pedersen,2
2009_2010,90,BOGNER Tobias,1
2009_2010,90,FREITAG Richard,1
2009_2010,90,GANGNES Kenneth,1
2010_2011,29,INGVALDSEN Ole Marius,155
2010_2011,36,VELTA Rune,106
2010_2011,40,KOIVURANTA Anssi,90
2010_2011,53,ZOGRAFSKI Vladimir,38
2010_2011,62,FRENETTE Peter,13
2010_2011,62,NAGLIC Tomaz,13
2010_2011,67,JUDEZ Dejan,6
2010_2011,71,BOYD-CLOWES Mackenzie,5
2010_2011,71,BRESADOLA Davide,5
2010_2011,75,DIETHART Thomas,3
2010_2011,78,BYRT Tomasz,2
2010_2011,78,TROFIMOV Roman-Sergeevich,2
2010_2011,82,BALKAASEN Fredrik,1
2010_2011,82,MAEAETTAE Jarkko,1
2011_2012,35,KOT Maciej,108
2011_2012,44,HVALA Jaka,66
2011_2012,47,ZNISZCZOL Aleksander,60
2011_2012,52,KOBAYASHI Junshiro,40
2011_2012,56,MURANKA Klemens,26
2011_2012,58,GRIGOLI Marco,22
2011_2012,61,DEZMAN Nejc,17
2011_2012,62,BRANDT Johan Martin,14
2011_2012,71,EISENBICHLER Markus,1
2012_2013,20,WELLINGER Andreas,393
2012_2013,31,KRAFT Stefan,202
2012_2013,36,KUBACKI Dawid,142
2012_2013,40,SHIMIZU Reruhi,94
2012_2013,41,GEIGER Karl,86
2012_2013,44,DESCHWANDEN Gregor,58
2012_2013,46,ASIKAINEN Lauri,50
2012_2013,47,KOZISEK Cestmir,46
2012_2013,48,PUNGERTAR Matjaz,45
2012_2013,49,NURMSALU Kaarel,40
2012_2013,51,QUECK Danny,37
2012_2013,57,POGRAJC Andraz,22
2012_2013,61,ROMASHOV Alexey,14
2012_2013,63,KRAUS Marinus,12
2012_2013,65,ZIOBRO Jan,11
2012_2013,66,SWENSEN Vegard,9
2012_2013,68,BJERKEENGEN Fredrik,8
2012_2013,78,GRIMSRUD Simen Key,3
2012_2013,79,WATANABE Hiroaki,2
2012_2013,81,BIEGUN Krzysztof,1
2013_2014,44,POPPINGER Manuel,99
2013_2014,54,MAKSIMOCHKIN Mikhail,65
2013_2014,60,LAMY CHAPPUIS Ronan,44
2013_2014,61,JOHANSSON Robert,43
2013_2014,64,TANDE Daniel-Andre,30
2013_2014,70,PREVC Cene,19
2013_2014,74,JUSTIN Rok,15
2013_2014,77,HEISKANEN Sami,7
2013_2014,82,KAELIN Pascal,1
2013_2014,82,TAKAHASHI Daito,1
2014_2015,23,FORFANG Johann Andre,325
2014_2015,31,SJOEEN Phillip,155
2014_2015,38,LEYHE Stephan,120
2014_2015,47,BOYARINTSEV Vladislav,77
2014_2015,53,SEMENIC Anze,35
2014_2015,57,HAZETDINOV Ilmir,32
2014_2015,62,LANISEK Anze,23
2014_2015,66,PEIER Killian,15
2014_2015,67,HAUER Joachim,14
2014_2015,67,WOHLGENANNT Ulrich,14
2014_2015,70,WENIG Daniel,11
2014_2015,78,ALEXANDER Nicholas,4
2014_2015,82,CHOI Seou,2
2014_2015,82,PASCHKE Pius,2
2014_2015,85,GREIDERER Simon,1
2015_2016,7,TANDE Daniel Andre,985
2015_2016,14,PREVC Domen,486
2015_2016,34,STEKALA Andrzej,105
2015_2016,42,KOBAYASHI Ryoyu,55
2015_2016,44,ASCHENWALD Philipp,50
2015_2016,49,SIEGEL David,37
2015_2016,51,HOFER Thomas,25
2015_2016,56,KLIMOV Evgeniy,21
2015_2016,57,PAVLOVCIC Bor,20
2015_2016,65,SCHIFFNER Markus,7
2015_2016,67,NAKAMURA Naoki,6
2015_2016,69,WOLNY Jakub,5
2015_2016,71,BJOERENG Joacim Oedegaard,3
2015_2016,71,VANCURA Tomas,3
2015_2016,74,AIGNER Clemens,2
2015_2016,77,BICKNER Kevin,1
2016_2017,36,STURSA Vojtech,88
2016_2017,42,GRANERUD Halvor Egner,50
2016_2017,47,POLASEK Viktor,31
2016_2017,52,AUNE Joakim,23
2016_2017,53,INSAM Alex,22
2016_2017,58,HUBER Stefan,15
2016_2017,65,ALTENBURGER Florian,4
2016_2017,67,GLASDER Michael,3
2016_2017,69,TOLLINGER Elias,2
2016_2017,71,HUBER Daniel,1
2016_2017,71,IWASA Yuken,1
2016_2017,71,KARLEN Gabriel,1
2017_2018,25,BARTOL Tilen,185
2017_2018,32,ZAJC Timi,88
2017_2018,33,SCHMID Constantin,81
2017_2018,41,LINDVIK Marius,49
2017_2018,44,JELAR Ziga,43
2017_2018,45,SATO Yukiya,41
2017_2018,54,AALTO Antti,13
2017_2018,57,RHOADS William,12
2017_2018,61,RINGEN Sondre,9
2017_2018,63,LEAROYD Jonathan,8
2017_2018,66,NOUSIAINEN Eetu,6
2017_2018,69,LEITNER Clemens,2
2017_2018,69,SCHULER Andreas,2
2017_2018,73,PILCH Tomasz,1
2018_2019,41,PEDERSEN Robin,58
2018_2019,43,HOERL Jan,53
2018_2019,49,HAMANN Martin,19
2018_2019,49,VASSILIEV Dmitry,19
2018_2019,51,MOGEL Zak,18
2018_2019,56,SATO Keiichi,13
2018_2019,57,AIGRO Artti,12
2018_2019,66,TROFIMOV Roman Sergeevich,5
2018_2019,67,MARKENG Thomas Aasen,4
2018_2019,67,WASEK Pawel,4
2018_2019,73,ALAMOMMO Andreas,2
2018_2019,73,BAER Moritz,2
2018_2019,73,MAATTA Jarkko,2
2018_2019,77,NAZAROV Mikhail,1
2019_2020,45,HAARE Anders,35
2019_2020,56,TKACHENKO Sergey,13
2019_2020,58,KYTOSAHO Niko,10
2019_2020,58,PETER Dominik,10
2019_2020,60,WOERGOETTER Marco,9
2019_2020,61,ROTH Luca,8
2019_2020,64,BUSKUM Andreas Granerud,6
2019_2020,66,VASSILIEV Dmitriy,5
2020_2021,36,LACKNER Thomas,93
2020_2021,43,ERIKSEN Sander Vossan,63
2020_2021,51,TSCHOFENIG Daniel,30
2020_2021,60,STEINER Maximilian,15
2020_2021,62,KOS Lovro,14
2020_2021,63,HAAGEN David,13
2020_2021,64,KAHOFER Timon-Pascal,9
2020_2021,65,BRESADOLA Giovanni,8
2020_2021,67,SADREEV Danil,6
2020_2021,71,LARSON Casey,3
2020_2021,71,PRESECNIK Jernej,3
2020_2021,76,SOUKUP Matthew,1
2021_2022,42,VILLUMSTAD Fredrik,62
2021_2022,46,HEGGLI Bendik Jakobsen,48
2021_2022,48,LISSO Justin,44
2021_2022,52,MUELLER Markus,34
2021_2022,62,RAIMUND Philipp,16
2021_2022,66,DEAN Decker,8
2021_2022,69,RUPITSCH Markus,7
2021_2022,71,BAZHENOV Aleksandr,6
2021_2022,76,IPCIOGLU Fatih Arda,2
2022_2023,27,SUNDAL Kristoffer Eriksen,246
2022_2023,42,MASLE Rok,51
2022_2023,43,NIKAIDO Ren,49
2022_2023,44,HABDAS Jan,48
2022_2023,52,SCHUSTER Jonas,26
2022_2023,54,MARUSIAK Yevhen,21
2022_2023,57,JUROSZEK Kacper,18
2022_2023,58,OESTVOLD Benjamin,17
2022_2023,58,BELSHAW Erik,17
2022_2023,63,IMHOF Remo,14
2022_2023,66,PALOSAARI Vilho,13
2022_2023,68,BARTOLJ Maksim,11
2022_2023,70,HOFFMANN Felix,10
2022_2023,76,URLAUB Andrew,5
2022_2023,76,VIDIC Matija,5
2022_2023,81,ORTNER Maximilian,3
2022_2023,82,VASSILYEV Danil,2
2022_2023,82,CACINA Daniel Andrei,2
2022_2023,85,MALTSEV Kevin,1
2022_2023,85,RYDL Radek,1
2023_2024,39,EMBACHER Stephan,86
2023_2024,42,FRANTZ Tate,71
2023_2024,47,JOERGENSEN Sindre Ulven,42
2023_2024,57,VALTO Kasperi,12
2023_2024,61,FOUBERT Valentin,8
2023_2024,64,CAMPREGHER Andrea,3
2024_2025,40,KOBAYASHI Sakutaro,76
2024_2025,52,WASSER Yanick,13
2024_2025,56,TITTEL Adrian,11
2024_2025,56,COLBY Jason,11
2024_2025,60,MIZERNYKH Ilya,6
2024_2025,61,STRAND Soelve Jokerud,5
2024_2025,65,OBLAK Rok,2
2024_2025,68,KUISMA Tomas,1
2025_2026,21,NAITO Tomofumi,401
2025_2026,23,TOMASIAK Kacper,391
2025_2026,30,LANGMO Isak Andreas,211
2025_2026,32,HAUSWIRTH Sandro,174
2025_2026,46,KAPUSTIK Hektor,41
2025_2026,46,TRUNZ Felix,41
2025_2026,58,GUNDERSRUD Adrian Thon,15
2025_2026,58,CECON Francesco,15
2025_2026,61,JANCAR Ziga,12
2025_2026,62,KESSELI Juri,11
2025_2026,66,BAYER Ben,6
2025_2026,72,STROEM Joergen Oliver,2
2025_2026,72,KALINICHENKO Vitaliy,2
2025_2026,72,JONIAK Klemens,2
