Rank,Last Name and First Name,Points,Debut
1,PINKELNIG Eva,1662.0,no
2,ALTHAUS Katharina,1497.0,no
3,KLINEC Ema,1281.0,no
4,STROEM Anna Odine,1278.0,no
5,FREITAG Selina,958.0,no
6,KREUZER Chiara,924.0,no
7,OPSETH Silje,837.0,no
8,ITO Yuki,766.0,no
9,KRIZNAR Nika,741.0,no
10,TAKANASHI Sara,674.0,no
11,STRATE Abigail,669.0,no
12,MARUYAMA Nozomi,574.0,no
13,LOUTITT Alexandria,547.0,no
14,BJOERSETH Thea Minyan,520.0,no
15,KRAMER Marita,479.0,no
16,PAGNIER Josephine,439.0,no
17,SETO Yuka,437.0,no
18,RUPPRECHT Anna,374.0,no
19,PREVC Nika,366.0,no
20,LUNDBY Maren,264.0,no
21,SEIFRIEDSBERGER Jacqueline,259.0,no
22,CLAIR Julia,252.0,no
23,BOGATAJ Ursa,249.0,no
24,GOERLICH Luisa,231.0,no
25,MALSINER Lara,227.0,no
26,KVANDAL Eirin Maria,208.0,no
27,RAUTIONAHO Jenny,201.0,no
28,MUEHLBACHER Julia,172.0,no
29,HESSLER Pauline,171.0,no
30,HARALAMBIE Daniela,135.0,no
31,VTIC Maja,121.0,no
32,REISCH Agnes,119.0,no
33,WESTMAN Frida,117.0,no
34,MALSINER Jessica,114.0,no
35,MIYAJIMA Ringo,111.0,yes
36,SEYFARTH Juliane,106.0,no
37,KOMAR Katra,102.0,no
38,WIEGELE Hannah,83.0,yes
39,MIDTSUNDSTAD Nora,78.0,yes
40,BELSHAW Annika,60.0,yes
41,KYKKAENEN Julia,57.0,no
42,LIU Qi,42.0,no
43,ARNET Sina,30.0,no
44,GOEBEL Michelle,23.0,yes
45,KOSNJEK Ajda,18.0,yes
45,JONES Paige,18.0,yes
47,INDRACKOVA Karolina,17.0,no
48,NAKAYAMA Nagomi,16.0,yes
49,WANG Liangyao,12.0,yes
50,LI Xueyao,8.0,no
51,MAURER Nicole,6.0,no
51,ICHINOHE Kurumi,6.0,yes
51,PENG Qingyue,6.0,yes
51,KONDERLA Nicole,6.0,no
55,KOBAYASHI Yuka,5.0,no
55,JOHNSON Josie,5.0,yes
57,IWASA Haruka,4.0,no
57,EILERS Natalie,4.0,no
59,LAUE Josephin,3.0,no
60,KUEBLER Pia Lilian,2.0,yes
60,TORAZZA Emely,2.0,yes
62,VETRIH Nika,1.0,yes
