Rank,Last Name and First Name,Points,Debut
1,JANDA Jakub,1151.0,no
2,AHONEN Janne,1024.0,no
3,KUETTEL Andreas,980.0,no
4,LJOEKELSOEY Roar,875.0,no
5,MORGENSTERN Thomas,846.0,no
6,ROMOEREN Bjoern Einar,757.0,no
7,KOFLER Andreas,699.0,no
8,UHRMANN Michael,681.0,no
9,MALYSZ Adam,634.0,no
10,WIDHOELZL Andreas,594.0,no
11,HAUTAMAEKI Matti,563.0,no
12,OKABE Takanobu,500.0,no
13,BYSTOEL Lars,495.0,no
14,HAPPONEN Janne,484.0,no
15,KOCH Martin,383.0,no
16,KRANJEC Robert,327.0,no
17,AMMANN Simon,305.0,no
18,SPAETH Georg,282.0,no
19,ITO Daiki,267.0,no
20,KIURU Tami,265.0,no
21,KASAI Noriaki,249.0,no
22,VASSILIEV Dimitri,240.0,no
23,INGEBRIGTSEN Tommy,208.0,no
24,NEUMAYER Michael,205.0,no
25,DAMJAN Jernej,172.0,no
26,BENKOVIC Rok,164.0,no
27,BARDAL Anders,161.0,no
28,HERR Alexander,158.0,no
29,LOITZL Wolfgang,156.0,no
30,IKONEN Joonas,155.0,no
30,JUSSILAINEN Risto,155.0,no
32,PETERKA Primoz,151.0,no
33,STENSRUD Henning,145.0,no
34,MATURA Jan,121.0,no
35,PETTERSEN Sigurd,118.0,no
36,OLLI Harri,90.0,no
37,FORFANG Daniel,82.0,no
38,COLLOREDO Sebastian,81.0,yes
39,SCHMITT Martin,64.0,no
40,HOELLWARTH Martin,59.0,no
41,SCHWARZENBERGER Reinhard,57.0,no
42,FETTNER Manuel,50.0,no
42,MOELLINGER Michael,50.0,no
44,SAKANO Yukio,42.0,no
45,KORNILOV Denis,41.0,no
45,STOCH Kamil,41.0,no
47,LANDERT Guido,40.0,yes
48,ICHINOHE Tsuyoshi,34.0,no
49,YOSHIOKA Kazuya,29.0,no
50,UENO Shingo,26.0,yes
51,ZYLA Piotr,23.0,yes
52,SOLEM Morten,22.0,no
53,YLIRIESTO Kimmo,20.0,no
54,HULA Stefan,19.0,yes
54,KARAULOV Ivan,19.0,no
56,LAZZARONI David,18.0,yes
56,PIKL Primoz,18.0,no
56,RITZERFELD Joerg,18.0,no
59,SALUMAE Jens,16.0,no
60,MIYAHIRA Hideharu,15.0,no
60,SLIZ Rafal,15.0,yes
62,HILDE Tom,12.0,yes
63,MORASSI Andrea,11.0,yes
63,ZUPAN Bine,11.0,no
65,KIM Hyun-Ki,10.0,no
65,READ Stefan,10.0,yes
65,SINKOVEC Jure,10.0,yes
68,CHEDAL Emmanuel,9.0,no
68,MUSIOL Julian,9.0,yes
68,SCHNEIDER Balthasar,9.0,no
71,IPATOV Dimitri,8.0,no
71,RADELJ Jure,8.0,no
73,SCHLIERENZAUER Gregor,7.0,yes
73,YAMADA Hiroki,7.0,no
75,ZHAPAROV Radik,6.0,no
76,ALBORN Alan,5.0,yes
76,HAJEK Antonin,5.0,no
76,MAZOCH Jan,5.0,no
79,MATEJA Robert,4.0,no
79,URBANC Rok,4.0,no
79,VACULIK Ondrej,4.0,yes
82,HOCKE Stephan,2.0,no
82,MESIK Martin,2.0,no
82,SEDLAK Borek,2.0,yes
85,LACKNER Daniel,1.0,yes
85,WATASE Yuta,1.0,no
