Rank,Last Name and First Name,Points,Debut
1,FELDER Andi,260.0,no
2,ZUEND Stephan,206.0,no
3,THOMA Dieter,201.0,no
4,HORNGACHER Stefan,179.0,yes
5,MARTINSSON Mikael,158.0,no
5,NIKKOLA Ari-Pekka,158.0,no
7,KUTTIN Heinz,148.0,no
8,WEISSFLOG Jens,141.0,no
9,VETTORI Ernst,139.0,no
10,KIESEWETTER Andre,134.0,yes
11,PETEK Franci,132.0,no
12,TAELLBERG Staffan,103.0,no
13,HAIM Werner,89.0,no
14,GEBSTEDT Ralf,73.0,no
15,YLIPULLI Raimo,67.0,yes
16,VERVEIKIN Andzey,57.0,no
17,DUFFNER Christof,53.0,yes
17,OLIJNYK Rune,53.0,no
19,LAAKONEN Risto,52.0,no
20,PLOC Pavel,49.0,no
21,JEZ Frantisek,48.0,no
22,HEUMANN Josef,47.0,no
23,BERG Oyvind,46.0,yes
24,HAKALA Vaesa,36.0,no
25,NIEMINEN Anssi,34.0,no
26,DLUHOS Ladislav,32.0,no
27,FREIHOLZ Sylvain,31.0,yes
28,HUBER Klaus,25.0,no
29,PARMA Jiri,24.0,no
30,HUNGER Heiko,23.0,no
31,BULAU Horst,21.0,no
32,BAUER Andreas,19.0,no
33,TAELLBERG Per-Inge,18.0,no
34,BREDESEN Espen,17.0,yes
34,HIGASHI Kazuhiro,17.0,yes
34,TAKEUCHI Takuya,17.0,yes
37,GOLDBERGER Andreas,16.0,yes
37,SAKALA Jaroslav,16.0,no
39,RAUSCHMEIER Andi,15.0,no
40,FIDJESTOEL Ole Gunnar,14.0,no
41,CECON Roberto,13.0,no
42,JANUS Goran,12.0,yes
43,SCHUSTER Werner,10.0,no
44,PERTILE Ivo,9.0,no
44,TEPES Miran,9.0,no
44,ULAGA Primoz,9.0,no
47,KJOERUM Jon-Inge,8.0,no
47,RICHARDS Ron,8.0,no
49,POINTNER Alexander,4.0,no
50,BOKLOEV Jan,2.0,no
50,OTTESEN Lasse,2.0,yes
52,NEULAENDTNER Franz,1.0,no
