Rank,Last Name and First Name,Points,Debut
1,NIKKOLA Ari-Pekka,287.0,no
2,VETTORI Ernst,239.0,no
3,FELDER Andi,236.0,no
4,THOMA Dieter,206.0,no
5,JEZ Frantisek,202.0,yes
6,WEISSFLOG Jens,200.0,no
7,PLOC Pavel,186.0,no
8,KUTTIN Heinz,176.0,no
9,HAIM Werner,137.0,no
10,LUNARDI Virginio,135.0,no
11,LAAKONEN Risto,117.0,no
12,ULAGA Primoz,96.0,no
13,TEPES Miran,83.0,no
14,BOKLOEV Jan,80.0,no
15,HEUMANN Josef,68.0,no
16,FIDJESTOEL Ole Gunnar,63.0,no
17,CECON Roberto,58.0,no
17,VERVEIKIN Andzey,58.0,no
19,NYKAENEN Matti,55.0,no
20,NEULAENDTNER Franz,49.0,no
21,KUSTOV Pavel,46.0,no
21,PETEK Franci,46.0,yes
21,ZUEND Stephan,46.0,yes
24,DLUHOS Ladislav,43.0,no
24,KASAI Noriaki,43.0,yes
26,BAUER Andreas,41.0,no
27,RICHARDS Ron,38.0,no
28,RAUSCHMEIER Andi,35.0,no
28,TAELLBERG Staffan,35.0,no
30,OLIJNYK Rune,31.0,yes
31,PARMA Jiri,29.0,no
32,KJOERUM Jon-Inge,26.0,no
32,KLAUSER Thomas,26.0,no
34,BREITSCHEV Vladimir,23.0,no
35,MOLLARD Didier,22.0,no
36,HUNGER Heiko,21.0,no
37,PUIKKONEN Jari,19.0,no
38,PODZIMEK Vladimir,18.0,no
39,PERTILE Ivo,16.0,yes
40,JOHANSEN Magne,15.0,no
41,OPAAS Vegard,12.0,no
42,HAUSWIRTH Christian,9.0,no
43,JOHANSSEN Kent,8.0,no
43,NIEMINEN Anssi,8.0,no
43,POINTNER Alexander,8.0,yes
43,STRANNER Günther,8.0,no
47,SAKALA Jaroslav,7.0,no
48,KUMMERLOEW René,6.0,yes
48,SOTIROV Zacharij,6.0,yes
50,LESSER Ingo,4.0,no
50,SVAGERKO Martin,4.0,no
52,HAKALA Vaesa,3.0,yes
52,HARADA Masahiko,3.0,no
52,JESSIN Mikhail,3.0,no
52,LEONHARD Robert,3.0,yes
56,GEBSTEDT Ralf,2.0,yes
56,HEIKKELAE Jarkko,2.0,yes
56,HUBER Klaus,2.0,yes
56,KINDLIMANN Thomas,2.0,no
60,NIKAIDO Manabu,1.0,yes
60,NORMAN Ake,1.0,yes
60,VODNEV Dionis,1.0,yes
