Rank,Last Name and First Name,Points,Debut
1,BARDAL Anders,1325.0,no
2,SCHLIERENZAUER Gregor,1267.0,no
3,KOFLER Andreas,1203.0,no
4,ITO Daiki,1131.0,no
5,STOCH Kamil,1078.0,no
6,FREITAG Richard,1031.0,no
7,MORGENSTERN Thomas,1014.0,no
8,FREUND Severin,857.0,no
9,KRANJEC Robert,829.0,no
10,KOUDELKA Roman,796.0,no
11,AMMANN Simon,731.0,no
12,KOCH Martin,690.0,no
13,TAKEUCHI Taku,429.0,no
14,HLAVA Lukas,404.0,no
15,PREVC Peter,400.0,no
16,SKLETT Vegard-Haukoe,343.0,no
17,VELTA Rune,311.0,no
18,KOIVURANTA Anssi,283.0,no
19,ZYLA Piotr,267.0,no
20,KORNILOV Denis,251.0,no
21,NEUMAYER Michael,236.0,no
22,WANK Andreas,227.0,no
23,ZAUNER David,216.0,no
24,TEPES Jurij,204.0,no
25,FANNEMEL Anders,185.0,no
25,JANDA Jakub,185.0,no
27,MECHLER Maximilian,180.0,no
28,SINKOVEC Jure,163.0,no
29,HILDE Tom,158.0,no
30,LOITZL Wolfgang,154.0,no
31,HAPPONEN Janne,152.0,no
32,ROMOEREN Bjoern Einar,151.0,no
33,DAMJAN Jernej,149.0,no
34,COLLOREDO Sebastian,141.0,no
35,KOT Maciej,108.0,yes
36,HOCKE Stephan,107.0,no
37,STJERNEN Andreas,92.0,no
38,MORASSI Andrea,90.0,no
39,VASSILIEV Dimitry,84.0,no
40,EVENSEN Johan Remen,72.0,no
41,FETTNER Manuel,71.0,no
42,HAYBOECK Michael,70.0,no
43,GANGNES Kenneth,68.0,no
44,HVALA Jaka,66.0,yes
45,ROENSEN Atle Pedersen,61.0,no
45,ZOGRAFSKI Vladimir,61.0,no
47,ZNISZCZOL Aleksander,60.0,yes
48,WATASE Yuta,58.0,no
49,HAUTAMAEKI Matti,51.0,no
50,MIETUS Krzysztof,49.0,no
51,KASAI Noriaki,45.0,no
52,KOBAYASHI Junshiro,40.0,yes
52,MATURA Jan,40.0,no
54,DESCOMBES SEVOIE Vincent,39.0,no
55,JUDEZ Dejan,34.0,no
56,MURANKA Klemens,26.0,yes
57,TOCHIMOTO Shohei,23.0,no
58,GRIGOLI Marco,22.0,yes
59,MUOTKA Olli,21.0,no
60,KALINITSCHENKO Anton,20.0,no
61,DEZMAN Nejc,17.0,yes
62,BRANDT Johan Martin,14.0,yes
63,IPATOV Dimitry,13.0,no
64,MAYER Nicolas,11.0,no
65,SCHMITT Martin,8.0,no
66,CHEDAL Emmanuel,7.0,no
67,SCHOFT Felix,6.0,no
68,BOYD-CLOWES Mackenzie,5.0,no
69,NIEMI Sami,4.0,no
70,CIKL Martin,3.0,no
71,EISENBICHLER Markus,1.0,yes
71,YUMOTO Fumihisa,1.0,no
