Rank,Last Name and First Name,Points,Debut
1,PREVC Domen,2148,false
2,KOBAYASHI Ryoyu,1194,false
3,TSCHOFENIG Daniel,1159,false
4,NIKAIDO Ren,1109,false
5,LANISEK Anze,1009,false
6,EMBACHER Stephan,992,false
7,RAIMUND Philipp,967,false
8,HOERL Jan,772,false
9,HOFFMANN Felix,662,false
10,KRAFT Stefan,631,false
11,FORFANG Johann Andre,622,false
12,LINDVIK Marius,602,false
13,FETTNER Manuel,589,false
14,NAKAMURA Naoki,579,false
15,SUNDAL Kristoffer Eriksen,462,false
16,FOUBERT Valentin,443,false
17,ORTNER Maximilian,432,false
18,SCHUSTER Jonas,426,false
19,DESCHWANDEN Gregor,418,false
20,ZOGRAFSKI Vladimir,415,false
21,NAITO Tomofumi,401,true
22,AALTO Antti,395,false
23,TOMASIAK Kacper,391,true
24,KYTOSAHO Niko,347,false
25,WELLINGER Andreas,331,false
26,GRANERUD Halvor Egner,274,false
27,ZAJC Timi,260,false
28,GEIGER Karl,256,false
29,PASCHKE Pius,231,false
30,LANGMO Isak Andreas,211,true
31,STOCH Kamil,186,false
32,HAUSWIRTH Sandro,174,true
33,ZYLA Piotr,162,false
34,SATO Yukiya,148,false
35,COLBY Jason,147,false
36,BICKNER Kevin,128,false
37,AIGRO Artti,107,false
38,OESTVOLD Benjamin,88,false
39,KOT Maciej,87,false
40,OBLAK Rok,83,false
41,FRANTZ Tate,66,false
42,MIZERNYKH Ilya,65,false
43,WASEK Pawel,64,false
44,KUBACKI Dawid,54,false
45,AIGNER Clemens,48,false
46,KAPUSTIK Hektor,41,true
46,TRUNZ Felix,41,true
46,AMMANN Simon,41,false
49,KOBAYASHI Sakutaro,40,false
50,KOUDELKA Roman,38,false
51,MUELLER Markus,33,false
52,INSAM Alex,30,false
53,VASSILYEV Danil,28,false
54,BRESADOLA Giovanni,27,false
55,NOUSIAINEN Eetu,24,false
55,MARUSIAK Yevhen,24,false
57,PEDERSEN Robin,16,false
58,GUNDERSRUD Adrian Thon,15,true
58,CECON Francesco,15,true
60,PALOSAARI Vilho,14,false
61,JANCAR Ziga,12,true
62,KESSELI Juri,11,true
63,ROTH Luca,10,false
64,MAATTA Jarkko,7,false
64,ZNISZCZOL Aleksander,7,false
66,BAYER Ben,6,true
67,WASSER Yanick,5,false
67,URLAUB Andrew,5,false
67,MOGEL Zak,5,false
70,KOBAYASHI Junshiro,4,false
70,PEIER Killian,4,false
72,STROEM Joergen Oliver,2,true
72,KALINICHENKO Vitaliy,2,true
72,JONIAK Klemens,2,true
75,BOYD-CLOWES Mackenzie,1,false
75,SATO Keiichi,1,false
75,STRAND Soelve Jokerud,1,false
