Rank,Last Name and First Name,Points,Debut
1,KRAFT Stefan,1665.0,no
2,STOCH Kamil,1524.0,no
3,TANDE Daniel Andre,1201.0,no
4,WELLINGER Andreas,1161.0,no
5,KOT Maciej,985.0,no
6,PREVC Domen,963.0,no
7,HAYBOECK Michael,814.0,no
8,EISENBICHLER Markus,807.0,no
9,PREVC Peter,716.0,no
10,FETTNER Manuel,703.0,no
11,ZYLA Piotr,634.0,no
12,STJERNEN Andreas,591.0,no
13,FREITAG Richard,507.0,no
14,JOHANSSON Robert,424.0,no
15,KASAI Noriaki,401.0,no
16,DESCOMBES SEVOIE Vincent,386.0,no
17,KLIMOV Evgeniy,382.0,no
18,GEIGER Karl,369.0,no
19,KUBACKI Dawid,345.0,no
20,TEPES Jurij,326.0,no
21,FREUND Severin,309.0,no
22,LEYHE Stephan,308.0,no
23,KOFLER Andreas,307.0,no
24,ITO Daiki,294.0,no
25,KOUDELKA Roman,223.0,no
26,FANNEMEL Anders,213.0,no
27,FORFANG Johann Andre,197.0,no
28,DAMJAN Jernej,149.0,no
29,AMMANN Simon,147.0,no
30,TAKEUCHI Taku,130.0,no
31,ZIOBRO Jan,122.0,no
32,HULA Stefan,110.0,no
33,LANISEK Anze,98.0,no
34,SCHLIERENZAUER Gregor,94.0,no
35,WANK Andreas,90.0,no
36,STURSA Vojtech,88.0,yes
37,SCHIFFNER Markus,81.0,no
38,JANDA Jakub,80.0,no
39,KORNILOV Denis,77.0,no
40,PREVC Cene,67.0,no
41,BOYD-CLOWES Mackenzie,52.0,no
42,AIGNER Clemens,50.0,no
42,BICKNER Kevin,50.0,no
42,GRANERUD Halvor Egner,50.0,yes
45,SEMENIC Anze,41.0,no
46,COLLOREDO Sebastian,33.0,no
47,POLASEK Viktor,31.0,yes
47,VANCURA Tomas,31.0,no
49,HLAVA Lukas,26.0,no
50,AHONEN Janne,24.0,no
50,MAEAETTAE Jarkko,24.0,no
52,AUNE Joakim,23.0,yes
53,INSAM Alex,22.0,yes
54,KOBAYASHI Junshiro,20.0,no
55,ROMASHOV Alexey,17.0,no
56,HILDE Tom,16.0,no
56,LARINTO Ville,16.0,no
58,HUBER Stefan,15.0,yes
58,VASSILIEV Dimitry,15.0,no
60,BRESADOLA Davide,14.0,no
61,SIEGEL David,12.0,no
62,SAKUYAMA Kento,9.0,no
62,ZNISZCZOL Aleksander,9.0,no
64,DESCHWANDEN Gregor,8.0,no
65,ALTENBURGER Florian,4.0,yes
65,MURANKA Klemens,4.0,no
67,GLASDER Michael,3.0,yes
67,PAVLOVCIC Bor,3.0,no
69,NURMSALU Kaarel,2.0,no
69,TOLLINGER Elias,2.0,yes
71,HUBER Daniel,1.0,yes
71,IWASA Yuken,1.0,yes
71,KARLEN Gabriel,1.0,yes
