Rank,Last Name and First Name,Points,Debut
1,MALYSZ Adam,1357.0,no
2,HANNAWALD Sven,1235.0,no
3,WIDHOELZL Andreas,1028.0,no
4,AHONEN Janne,1016.0,no
5,LIEGL Florian,986.0,yes
6,HOELLWARTH Martin,925.0,no
7,PETERKA Primoz,805.0,no
8,HAUTAMAEKI Matti,797.0,no
9,LJOEKELSOEY Roar,757.0,no
10,PETTERSEN Sigurd,747.0,yes
11,MIYAHIRA Hideharu,639.0,no
12,GOLDBERGER Andreas,556.0,no
13,KASAI Noriaki,548.0,no
14,ROMOEREN Bjoern-Einar,523.0,yes
15,UHRMANN Michael,516.0,no
16,KOFLER Andreas,506.0,yes
17,KRANJEC Robert,431.0,no
18,NAGILLER Christian,428.0,yes
19,ZONTA Peter,410.0,no
20,MORGENSTERN Thomas,385.0,yes
21,KIURU Tami,380.0,no
22,LINDSTROEM Veli-Matti,295.0,no
23,SCHMITT Martin,253.0,no
24,LAPPI Arttu,241.0,no
25,JANDA Jakub,227.0,no
26,BYSTOEL Lars,226.0,no
27,SCHWARZENBERGER Reinhard,216.0,no
28,AMMANN Simon,202.0,no
29,STENSRUD Henning,200.0,no
30,FUNAKI Kazuyoshi,185.0,no
31,CECON Roberto,183.0,no
32,SPAETH Georg,172.0,no
33,FRAS Damjan,156.0,no
34,KOCH Martin,151.0,no
35,INGEBRIGTSEN Tommy,150.0,no
36,HANSEN Kim-Roar,143.0,yes
37,HAFELE Mathias,124.0,yes
38,NEUMAYER Michael,92.0,no
39,PIEPER Stefan,87.0,yes
40,HAPPONEN Janne,84.0,no
41,BENKOVIC Rok,83.0,no
42,BACHLEDA Marcin,77.0,no
42,BARDAL Anders,77.0,no
44,THURNBICHLER Stefan,67.0,yes
45,KOKKONEN Akseli,59.0,yes
46,MECHLER Maximilian,54.0,yes
47,DUFFNER Christof,50.0,no
47,TAKANO Teppei,50.0,yes
49,HIGASHI Akira,47.0,no
50,JONES Clint,44.0,no
51,HAUTAMAEKI Jussi,38.0,no
52,HOCKE Stephan,36.0,no
53,VASSILIEV Dimitri,32.0,no
54,JURIS Jaan,28.0,yes
54,NIEMINEN Toni,28.0,no
56,JAAFS Kristoffer,27.0,no
57,HERR Alexander,25.0,no
57,MEDVED Igor,25.0,no
57,SCHNEIDER Balthasar,25.0,yes
60,KUETTEL Andreas,20.0,no
60,LOITZL Wolfgang,20.0,no
60,ROSLIAKOV Ilja,20.0,yes
63,ALBORN Alan Jacob,17.0,no
64,DESSUM Nicolas,16.0,no
64,RITZERFELD Joerg,16.0,no
66,FREIHOLZ Sylvain,15.0,no
66,MESIK Martin,15.0,no
66,TAJNER Tomislaw,15.0,no
69,JUSSILAINEN Risto,13.0,no
70,CHEDAL Emmanuel,12.0,no
71,MOELLINGER Michael,8.0,yes
72,MATURA Jan,7.0,yes
73,BRACHT Kai,6.0,no
73,SALMINEN Pekka,6.0,no
73,YLIJERVI Janne,6.0,no
76,MATEJA Robert,5.0,no
76,URBANC Rok,5.0,yes
78,MAZOCH Jan,4.0,yes
78,POCHWALA Tomasz,4.0,no
78,REMY Maxime,4.0,yes
81,KEITURI Kalle,3.0,no
82,MAYR Ingemar,2.0,no
82,SALUMAE Jens,2.0,yes
84,ELSE Dirk,1.0,no
84,STEINAUER Marco,1.0,no
