Rank,Last Name and First Name,Points,Debut
1,AHONEN Janne,1715.0,no
2,LJOEKELSOEY Roar,1440.0,no
3,HAUTAMAEKI Matti,1275.0,no
4,MALYSZ Adam,1201.0,no
5,HOELLWARTH Martin,1179.0,no
6,JANDA Jakub,1164.0,no
7,MORGENSTERN Thomas,1138.0,no
8,WIDHOELZL Andreas,999.0,no
9,UHRMANN Michael,804.0,no
10,BYSTOEL Lars,613.0,no
11,SPAETH Georg,559.0,no
12,JUSSILAINEN Risto,526.0,no
13,ITO Daiki,511.0,no
14,ROMOEREN Bjoern Einar,467.0,yes
15,DAMJAN Jernej,451.0,no
16,KASAI Noriaki,416.0,no
17,KUETTEL Andreas,395.0,no
18,LOITZL Wolfgang,350.0,no
19,BENKOVIC Rok,335.0,no
20,PETTERSEN Sigurd,314.0,no
21,STENSRUD Henning,275.0,no
22,NEUMAYER Michael,259.0,no
23,AMMANN Simon,243.0,no
24,HERR Alexander,233.0,no
25,INGEBRIGTSEN Tommy,224.0,no
26,MOELLINGER Michael,205.0,no
27,HOCKE Stephan,183.0,no
28,FORFANG Daniel,178.0,no
29,VASSILIEV Dimitri,163.0,no
30,FUNAKI Kazuyoshi,133.0,no
31,LIEGL Florian,129.0,no
32,RITZERFELD Joerg,109.0,no
33,KIURU Tami,108.0,no
34,PETERKA Primoz,104.0,no
35,MIYAHIRA Hideharu,97.0,no
36,GOLDBERGER Andreas,94.0,no
37,SCHMITT Martin,90.0,no
38,MATEJA Robert,87.0,no
39,BOGATAJ Jure,85.0,yes
40,KOFLER Andreas,82.0,no
41,SOLEM Morten,80.0,no
42,HIGASHI Akira,77.0,no
43,ZONTA Peter,74.0,no
44,MATURA Jan,66.0,no
45,KRANJEC Robert,65.0,no
46,MECHLER Maximilian,62.0,no
47,HAUTAMAEKI Jussi,61.0,no
48,KOCH Martin,60.0,no
49,OKABE Takanobu,57.0,no
50,BADER Ferdinand,48.0,no
51,YLIRIESTO Kimmo,45.0,no
52,SCHNEIDER Balthasar,43.0,no
53,STOCH Kamil,36.0,yes
54,BARDAL Anders,28.0,no
55,BRUDER Christian,25.0,yes
56,HAPPONEN Janne,23.0,no
56,KORNILOV Denis,23.0,no
58,DESSUM Nicolas,22.0,no
58,KEITURI Kalle,22.0,no
58,YAMADA Hiroki,22.0,no
61,IPATOV Dimitri,21.0,no
62,FATCHULLIN Ildar,20.0,no
63,ICHINOHE Tsuyoshi,19.0,yes
64,HAJEK Antonin,17.0,yes
64,KAISER Stefan,17.0,no
64,KOKKONEN Akseli,17.0,no
67,CHEDAL Emmanuel,15.0,no
67,JONES Clint,15.0,no
69,KANEKO Yusuke,14.0,no
70,YUMOTO Fumihisa,12.0,yes
70,ZHAPAROV Radik,12.0,no
72,CHIAPOLINO Stefano,11.0,yes
72,ZUPAN Bine,11.0,yes
74,SCHWARZENBERGER Reinhard,10.0,no
75,CHOI Heung-Chul,9.0,no
75,MAZOCH Jan,9.0,no
77,LINDSTROEM Veli-Matti,8.0,no
77,YOSHIOKA Kazuya,8.0,no
79,IKONEN Joonas,6.0,yes
80,AARAAS Jon,5.0,yes
80,SALMINEN Pekka,5.0,no
82,BRACHT Kai,4.0,no
82,ERIKSSON Johan,4.0,no
82,SAKANO Yukio,4.0,yes
85,BACHLEDA Marcin,3.0,no
85,DLUGOPOLSKI Kristian,3.0,no
85,KIM Hyun-Ki,3.0,no
88,ANISIMOV Maksim,2.0,no
88,JURIS Jaan,2.0,no
88,PIKL Primoz,2.0,yes
91,ALBORN Alan Jacob,1.0,no
91,KARAULOV Ivan,1.0,yes
91,MUELLER Roland,1.0,no
91,PIEPER Stefan,1.0,no
