Rank,Last Name and First Name,Points,Debut
1,KOGLER Armin,189.0,no
2,NEUPER Hubert,174.0,no
3,BULAU Horst,150.0,no
4,NYKAENEN Matti,138.0,no
5,BREMSETH Ole,136.0,no
6,BERGERUD Per,129.0,no
7,RIGONI Massimo,125.0,no
8,RUUD Roger,112.0,no
9,SAETRE Johan,100.0,no
10,BAUER Andreas,85.0,no
11,DECKERT Manfred,84.0,no
12,GROYER Alfred,83.0,no
13,HANSSON Olav,74.0,yes
14,FELDER Andreas,71.0,yes
15,BUSE Mathias,66.0,no
16,SAMEK J.,63.0,no
17,HOLMEN JENSEN Dag,55.0,no
17,OSTWALD Klaus,55.0,no
19,YLIANTTILA Kari,54.0,no
20,HASTINGS Jeff,50.0,no
20,KOKKONEN Pentti,50.0,no
22,WALLNER Hans,49.0,no
23,SCHWARZ Christoph,46.0,no
24,VETTORI Ernst,41.0,no
25,AKIMOTO Masahiro,37.0,no
26,FIJAS Pjotr,31.0,no
26,PUIKKONEN Jari,31.0,no
28,ASPHOL Halvor,30.0,no
29,DAUN Anders,29.0,yes
29,PROSSER Thomas,29.0,no
29,TEPES Miran,29.0,no
32,BROMAN J.,26.0,no
33,SUMI Hansjörg,24.0,no
34,ERNST Joachim,21.0,no
34,TOMASI Lido,21.0,no
36,ULAGA Primoz,20.0,no
37,ROHWEIN Peter,19.0,no
38,PLOC Pavel,16.0,yes
38,STEINER Manfred,16.0,no
40,OPAAS Vegard,13.0,yes
41,HIRNER Adolf,12.0,yes
42,BOLL Uli,11.0,no
42,SCHALLERT Richard,11.0,yes
42,SCHWINGHAMMER Peter,11.0,yes
42,WALDVOGEL Georg,11.0,yes
46,LOTRIC Rajko,9.0,no
46,TUCHSCHERER Klaus,9.0,no
48,DUSCHEK H.,8.0,no
48,MOBEKK Ivar,8.0,no
48,NOVAK Frantisek,8.0,no
51,NAKATSU Nobuo,7.0,yes
52,KORHONEN Keijo,6.0,no
52,RICHARDS Ron,6.0,yes
54,DENNEY John,5.0,no
55,COLLINS Steve,4.0,no
55,JOHNSON Geir,4.0,yes
55,TROEN Jan Henrik,4.0,no
55,YAGI Hirokazu,4.0,no
59,LEVORSTAD Tom,3.0,no
59,MATSUHASHI Saturu,3.0,yes
59,NISHIKATA Chiharu,3.0,yes
59,TSCHERNAJEV Vladimir,3.0,no
63,NAKARI Harry,2.0,yes
63,REIJONEN M.,2.0,yes
63,STANNARIUS Stefan,2.0,yes
66,SKODA Leos,1.0,no
66,STEIERT Wolfgang,1.0,yes
66,VACEK Bohumil,1.0,yes
