Rank,Last Name and First Name,Points,Debut
1,TAKANASHI Sara,1455.0,no
2,ITO Yuki,1208.0,no
3,LUNDBY Maren,1109.0,no
4,ALTHAUS Katharina,776.0,no
5,VOGT Carina,723.0,no
6,IRASCHKO-STOLZ Daniela,717.0,no
7,KLINEC Ema,630.0,no
8,SEIFRIEDSBERGER Jacqueline,544.0,no
9,AVVAKUMOVA Irina,531.0,no
10,WUERTH Svenja,497.0,no
11,VTIC Maja,477.0,no
12,SETO Yuka,406.0,no
13,HOELZL Chiara,387.0,no
14,HENDRICKSON Sarah,311.0,no
15,MALSINER Manuela,298.0,no
16,ENGLUND Nita,280.0,no
17,ROGELJ Spela,271.0,no
18,IWABUCHI Kaori,268.0,no
19,STRAUB Ramona,252.0,no
20,KYKKAENEN Julia,229.0,no
21,RUNGGALDIER Elena,169.0,no
22,BOGATAJ Ursa,165.0,no
22,LEMARE Lea,165.0,no
24,MORAT Lucile,158.0,yes
25,BARANNIKOVA Anastasiya,150.0,yes
26,RUPPRECHT Anna,127.0,no
27,TIKHONOVA Sofia,121.0,no
28,RINGQUIST Abby,106.0,yes
29,SEYFARTH Juliane,95.0,no
30,INSAM Evelyn,93.0,no
31,ERNST Gianina,80.0,no
32,MATTEL Coline,78.0,no
33,HENRICH Taylor,74.0,no
33,KRIZNAR Nika,74.0,no
35,KUSTOVA Alexandra,61.0,no
36,KABLUKOVA Ksenia,58.0,no
37,LOGAR Eva,57.0,no
37,REISCH Agnes,57.0,no
37,HARALAMBIE Daniela,57.0,no
40,GERAGHTY-MOATS Tara,52.0,no
41,GOERLICH Luisa,50.0,no
42,AVOCAT GROS Oceane,47.0,yes
43,HESSLER Pauline,28.0,no
44,BODNARCHUK Natasha,21.0,yes
44,TANAKA Atsuko,21.0,no
46,MORK Anniken,19.0,yes
47,MALSINER Lara,16.0,no
48,MAURER Nicole,12.0,yes
49,SHIGENO Misaki,11.0,no
50,IWASA Haruka,9.0,no
51,BLAZKOVA Barbora,8.0,no
51,LI Xueyao,8.0,no
51,LUSSI Nina,8.0,no
51,OPSETH Silje,8.0,no
55,DIEU Romane,6.0,yes
56,EILERS Natalie,5.0,yes
56,STRATE Abigail,5.0,yes
58,STROEM Anna Odine,4.0,no
59,KRAMER Marita,2.0,yes
60,PARK Guy-Lim,1.0,yes
60,PINKELNIG Eva,1.0,no
