Rank,Last Name and First Name,Points,Debut
1,TAKANASHI Sara,1720.0,no
2,VOGT Carina,806.0,no
3,ITO Yuki,759.0,no
4,AVVAKUMOVA Irina,731.0,no
5,IRASCHKO-STOLZ Daniela,682.0,yes
6,VTIC Maja,542.0,no
7,LUNDBY Maren,487.0,no
8,MATTEL Coline,453.0,no
9,KYKKAENEN Julia,429.0,no
10,JEROME Jessica,374.0,no
11,CLAIR Julia,371.0,no
12,POZUN Katja,350.0,no
13,ALTHAUS Katharina,345.0,no
14,JAHR Line,322.0,no
15,SMEBY Helena Olsson,306.0,no
16,GRAESSLER Ulrike,301.0,no
17,LOGAR Eva,289.0,no
18,STRAUB Ramona,265.0,no
19,INSAM Evelyn,235.0,no
20,ROGELJ Spela,221.0,no
21,BOGATAJ Ursa,220.0,no
22,HENRICH Taylor,214.0,no
23,HAEFELE Anna,209.0,no
24,ERNST Gianina,192.0,yes
25,KLINEC Ema,175.0,no
26,WINDMUELLER Bigna,171.0,no
27,RUNGGALDIER Elena,163.0,no
28,ENGER Gyda,141.0,no
29,TANAKA Atsuko,137.0,no
30,LEMARE Lea,131.0,no
31,IWABUCHI Kaori,120.0,no
32,DOLEZELOVA Michaela,112.0,no
33,HOELZL Chiara,110.0,no
34,VAN Lindsey,101.0,no
35,WATASE Ayumi,92.0,no
36,MALSINER Manuela,58.0,no
37,JOHNSON Alissa,54.0,no
38,SHIGENO Misaki,51.0,no
39,RUPPRECHT Anna,49.0,no
40,SAGEN Anette,48.0,no
41,SEIFRIEDSBERGER Jacqueline,45.0,no
42,TIKHONOVA Sofya,44.0,no
43,SEYFARTH Juliane,37.0,no
44,WUERTH Svenja,35.0,no
45,GLADYSHEVA Anastasiya,31.0,no
46,WINDMUELLER Sabrina,29.0,no
47,FORSSTROEM Susanna,26.0,yes
48,TEPES Anja,23.0,no
49,RAUDASCHL Elisabeth,16.0,yes
50,DEMETZ Lisa,15.0,no
50,HARALAMBIE Dana Vasilica,15.0,no
52,YAMADA Yurina,14.0,no
53,JAVORSEK Anja,13.0,yes
53,KOASA Seiko,13.0,no
53,HUGHES Abby,13.0,no
56,STROEM Anna Odine,10.0,yes
57,LIU Qi,8.0,no
58,BLAZKOVA Barbora,7.0,yes
58,KUSTOVA Alexandra,7.0,no
58,KASAI Yoshiko,7.0,no
61,GRUSHINA Daria,5.0,yes
61,TAKEDA Ayuka,5.0,no
63,SEPANDJ Jasmine,4.0,yes
64,PALASZ Magdalena,3.0,yes
65,KEIL Katharina,2.0,no
66,SCHOITSCH Sonja,1.0,no
