Rank,Last Name and First Name,Points,Debut
1,MALYSZ Adam,1475.0,no
2,HANNAWALD Sven,1259.0,no
3,HAUTAMAEKI Matti,1048.0,no
4,WIDHOELZL Andreas,874.0,no
5,SCHMITT Martin,795.0,no
6,HOELLWARTH Martin,737.0,no
7,AMMANN Simon,628.0,no
8,KOCH Martin,561.0,no
9,HOCKE Stephan,508.0,yes
10,JUSSILAINEN Risto,474.0,no
11,FUNAKI Kazuyoshi,460.0,no
12,HORNGACHER Stefan,434.0,no
13,GOLDBERGER Andreas,419.0,no
14,ZONTA Peter,364.0,no
15,AHONEN Janne,356.0,no
16,KRANJEC Robert,348.0,yes
17,CECON Roberto,299.0,no
18,MIYAHIRA Hideharu,279.0,no
19,LINDSTROEM Veli-Matti,274.0,no
20,ALBORN Alan Jacob,263.0,no
21,KOBELEV Valery,237.0,no
22,DUFFNER Christof,230.0,no
23,KASAI Noriaki,219.0,no
24,YAMADA Hiroki,194.0,yes
25,PETERKA Primoz,180.0,no
26,HAUTAMAEKI Jussi,174.0,no
27,FRAS Damjan,153.0,no
28,UHRMANN Michael,152.0,no
29,LOITZL Wolfgang,146.0,no
30,KUETTEL Andreas,145.0,no
31,NIEMINEN Toni,142.0,no
32,JANDA Jakub,141.0,no
33,HERR Alexander,129.0,no
34,SPAETH Georg,118.0,no
35,LJOEKELSOEY Roar,117.0,no
36,BARDAL Anders,109.0,no
37,KIURU Tami,101.0,no
38,HARADA Masahiko,97.0,no
39,FATCHULLIN Ildar,96.0,no
40,MEDVED Igor,69.0,no
40,RITZERFELD Joerg,69.0,yes
42,DESSUM Nicolas,67.0,no
43,INGEBRIGTSEN Tommy,66.0,no
44,YLIRIESTO Kimmo,63.0,yes
45,YLIJERVI Janne,57.0,yes
46,HAPPONEN Janne,56.0,yes
47,JONES Clint,55.0,yes
48,LAPPI Arttu,51.0,yes
49,MATEJA Robert,50.0,no
50,ELSE Dirk,49.0,yes
51,YOSHIOKA Kazuya,45.0,no
52,NEUMAYER Michael,39.0,no
53,HIGASHI Akira,38.0,no
53,POCHWALA Tomasz,38.0,yes
55,BACHLEDA Marcin,26.0,yes
56,KAISER Stefan,21.0,no
57,DOLEZAL Michal,20.0,no
58,FETTNER Manuel,19.0,no
59,FORFANG Daniel,18.0,yes
59,OKABE Takanobu,18.0,no
59,VRHOVNIK Blaz,18.0,no
62,HUUSKONEN Lassi,15.0,no
63,KANTEE Ville,13.0,no
63,SAITOH Hiroya,13.0,no
65,BYSTOEL Lars,12.0,yes
65,KEITURI Kalle,12.0,yes
67,SOLEM Morten,10.0,no
68,CHEDAL Emmanuel,9.0,no
68,JAAFS Kristoffer,9.0,no
68,MAYR Ingemar,9.0,no
71,ENGER Ole Christen,8.0,yes
71,LOEFFLER Frank,8.0,no
73,TAJNER Tomislaw,7.0,yes
74,FILIMONOV Stanislav,6.0,no
74,FREIHOLZ Sylvain,6.0,no
74,PETTERSEN Sigrud,6.0,yes
77,BENKOVIC Rok,5.0,yes
77,BRACHT Kai,5.0,yes
77,CHOI Heung-Chul,5.0,no
77,KRUCZEK Lukasz,5.0,no
77,SALMINEN Pekka,5.0,no
77,WATASE Yuta,5.0,no
83,JIROUTEK Jakub,4.0,no
83,SKUPIEN Wojciech,4.0,no
85,OKAMURA Sota,3.0,no
86,KREUZER Christoph,2.0,yes
86,SANTIAGO Remi,2.0,yes
88,DOENNEM Olav Magne,1.0,no
88,JAEKLE Hansjoerg,1.0,no
88,LANG Grega,1.0,no
