Rank,Last Name and First Name,Points,Debut
1,KRAFT Stefan,1659.0,no
2,GEIGER Karl,1519.0,no
3,KOBAYASHI Ryoyu,1178.0,no
4,KUBACKI Dawid,1169.0,no
5,STOCH Kamil,1031.0,no
6,LEYHE Stephan,917.0,no
7,LINDVIK Marius,906.0,no
8,PREVC Peter,789.0,no
9,TANDE Daniel Andre,721.0,no
10,ASCHENWALD Philipp,622.0,no
11,ZYLA Piotr,617.0,no
12,FORFANG Johann Andre,579.0,no
13,SATO Yukiya,559.0,no
14,ZAJC Timi,544.0,no
15,LANISEK Anze,543.0,no
16,SCHMID Constantin,530.0,no
17,JOHANSSON Robert,503.0,no
18,HUBER Daniel,417.0,no
19,PREVC Domen,361.0,no
20,SCHLIERENZAUER Gregor,356.0,no
21,PASCHKE Pius,353.0,no
22,HAYBOECK Michael,350.0,no
23,EISENBICHLER Markus,304.0,no
24,ITO Daiki,285.0,no
25,PEIER Killian,237.0,no
26,KOUDELKA Roman,220.0,no
27,HOERL Jan,210.0,no
28,JELAR Ziga,200.0,no
29,PEDERSEN Robin,181.0,no
30,KOBAYASHI Junshiro,162.0,no
31,KLIMOV Evgeniy,140.0,no
32,AALTO Antti,133.0,no
33,PREVC Cene,112.0,no
34,SATO Keiichi,109.0,no
35,AMMANN Simon,81.0,no
36,MARKENG Thomas Aasen,80.0,no
37,SEMENIC Anze,60.0,no
38,WOLNY Jakub,58.0,no
39,HUBER Stefan,57.0,no
40,JUSTIN Rok,52.0,no
41,ZOGRAFSKI Vladimir,48.0,no
42,KOT Maciej,40.0,no
43,NAKAMURA Naoki,39.0,no
44,FREITAG Richard,37.0,no
45,HAARE Anders,35.0,yes
46,HULA Stefan,31.0,no
47,TAKEUCHI Taku,28.0,no
48,BAER Moritz,24.0,no
49,TEPES Jurij,21.0,no
50,BOYD-CLOWES Mackenzie,20.0,no
51,DESCHWANDEN Gregor,18.0,no
51,ZNISZCZOL Aleksander,18.0,no
53,POLASEK Viktor,15.0,no
54,BICKNER Kevin,14.0,no
54,IWASA Yuken,14.0,no
56,TKACHENKO Sergey,13.0,yes
57,AIGRO Artti,11.0,no
58,KYTOSAHO Niko,10.0,yes
58,PETER Dominik,10.0,yes
60,WOERGOETTER Marco,9.0,yes
61,GRANERUD Halvor Egner,8.0,no
61,MURANKA Klemens,8.0,no
61,ROTH Luca,8.0,yes
64,BUSKUM Andreas Granerud,6.0,yes
64,LEITNER Clemens,6.0,no
66,AIGNER Clemens,5.0,no
66,SCHULER Andreas,5.0,no
66,VASSILIEV Dmitriy,5.0,yes
69,TROFIMOV Roman Sergeevich,3.0,no
69,WATANABE Hiroaki,3.0,no
69,RINGEN Sondre,3.0,no
69,BARTOL Tilen,3.0,no
73,TOCHIMOTO Shohei,2.0,no
73,FREUND Severin,2.0,no
