Rank,Last Name and First Name,Points,Debut
1,LUNDBY Maren,1340.0,no
2,ALTHAUS Katharina,928.0,no
3,TAKANASHI Sara,916.0,no
4,ITO Yuki,661.0,no
5,AVVAKUMOVA Irina,575.0,no
6,VOGT Carina,570.0,no
7,IRASCHKO-STOLZ Daniela,450.0,no
8,HOELZL Chiara,428.0,no
9,BOGATAJ Ursa,386.0,no
10,KRIZNAR Nika,383.0,no
11,KLINEC Ema,381.0,no
12,SEYFARTH Juliane,349.0,no
13,SETO Yuka,275.0,no
14,STRAUB Ramona,262.0,no
15,SEIFRIEDSBERGER Jacqueline,252.0,no
16,IWABUCHI Kaori,243.0,no
17,STROEM Anna Odine,234.0,no
18,MALSINER Lara,195.0,no
19,ROGELJ Spela,175.0,no
20,OPSETH Silje,163.0,no
21,MALSINER Manuela,150.0,no
22,ERNST Gianina,125.0,no
23,TIKHONOVA Sofia,123.0,no
24,WUERTH Svenja,121.0,no
25,KYKKAENEN Julia,100.0,no
26,CHANG Xinyue,99.0,no
27,BARANNIKOVA Anastasiya,96.0,no
28,LEMARE Lea,95.0,no
29,MORAT Lucile,86.0,no
30,HARALAMBIE Daniela,81.0,no
31,BRECL Jerneja,67.0,yes
32,RUPPRECHT Anna,58.0,no
33,CLAIR Julia,54.0,no
34,EDER Lisa,46.0,yes
35,RUNGGALDIER Elena,41.0,no
36,BARANTCEVA Aleksandra,40.0,yes
37,VTIC Maja,34.0,no
38,GOERLICH Luisa,32.0,no
39,IWASA Haruka,27.0,no
40,KUSTOVA Alexandra,24.0,no
41,LI Xueyao,22.0,no
42,SHIGENO Misaki,21.0,no
43,KABLUKOVA Ksenia,13.0,no
43,PINKELNIG Eva,13.0,no
45,DIEU Romane,8.0,no
45,HENRICH Taylor,8.0,no
45,RINGQUIST Abby,8.0,no
48,REISCH Agnes,6.0,no
49,HENDRICKSON Sarah,5.0,no
50,KOBAYASHI Yuka,4.0,no
51,EILERS Natalie,3.0,no
52,KOMAR Katra,2.0,yes
52,STRATE Abigail,2.0,no
52,TANAKA Atsuko,2.0,no
55,BODNARCHUK Natasha,1.0,no
55,ENGLUND Nita,1.0,no
55,GRAESSLER Ulrike,1.0,no
