Rank,Last Name and First Name,Points,Debut
1,NYKAENEN Matti,224.0,no
2,FELDER Andreas,198.0,no
3,VETTORI Ernst,176.0,no
4,WEISSFLOG Jens,151.0,no
5,PARMA Jiri,139.0,no
6,PUIKKONEN Jari,125.0,no
7,PLOC Pavel,117.0,no
8,AKIMOTO Masahiro,89.0,no
9,BERGERUD Per,88.0,no
10,HOLLAND Mike,86.0,no
10,TEPES Miran,86.0,no
12,OSTWALD Klaus,85.0,no
13,STJERNEN Hroar,71.0,yes
14,FIJAS Pjotr,69.0,no
15,KOKKONEN Pentti,60.0,no
16,FIDJESTOEL Ole Gunnar,58.0,no
17,BERG Rolf Age,47.0,no
17,PERSSON Halvor,47.0,yes
19,BULAU Horst,38.0,no
20,KLAUSER Thomas,36.0,no
21,DLUHOS Ladislav,35.0,no
21,SCHALLERT Richard,35.0,no
23,RUUD Roger,34.0,no
23,YLIPULLI Tuomo,34.0,no
25,WIEGELE Franz,31.0,no
26,POLAK Miroslav,29.0,yes
27,COLLINS Steve,28.0,no
27,RESCH Raimund,28.0,no
29,KALSO Jukka,26.0,no
30,OPAAS Vegard,25.0,no
31,DECKERT Manfred,24.0,no
32,BAUER Andreas,21.0,no
32,NEULAENDTNER Franz,21.0,yes
34,KOGLER Armin,20.0,no
34,ULAGA Primoz,20.0,no
34,ZUEHLKE Reed,20.0,no
37,BALANCHE Gérard,18.0,yes
38,KONOPACKE Mark,17.0,no
39,HANSSON Olav,16.0,no
40,FIJAS Tadeusz,15.0,yes
40,PEDERSEN Trond J.,15.0,yes
42,PALMER Zane,14.0,no
43,BRAATEN Steinar,12.0,no
43,PODZIMEK Vladimir,12.0,no
43,ROHWEIN Peter,12.0,no
46,PUSTKA Frantisek,10.0,yes
46,RICHARDS Ron,10.0,no
46,STEIERT Wolfgang,10.0,no
49,KYLMAEAHO Kimmo,8.0,yes
49,STOLZLECHNER Nils,8.0,no
51,HIRNER Adolf,7.0,no
51,ZAGAR Matjas,7.0,yes
53,HASTINGS Chris,6.0,yes
53,MEWBORN Rick,6.0,yes
53,SAUERBREY Frank,6.0,yes
53,SVAGERKO Martin,6.0,no
57,BOLL Uli,5.0,no
57,BROWN David,5.0,no
57,DOLAR Thomas,5.0,no
57,FINDEISEN Ulf,5.0,no
57,MALEC Jiri,5.0,yes
57,SHIMA Hiro,5.0,yes
57,VACEK Bohumil,5.0,no
64,FISCHER Laszlo,4.0,yes
64,PROKOPENKO Gennadi,4.0,no
66,BERGER Frédéric,3.0,yes
66,COLIN Gerard,3.0,no
66,PIAZZINI Fabrice,3.0,no
66,WEGSCHEIDER Lorenz,3.0,yes
70,CAHLIK Milan,2.0,yes
70,KOJONKOSKI Mika,2.0,yes
70,REYMOND Pascal,2.0,yes
73,MCGRANE Dennis,1.0,no
